Id,¶È,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
8,1084,1.767168263,453083.4616,0.50785956
3,1016,1.773187415,330238.4121,0.640694294
18,897,1.825444596,204608.6384,0.453236447
111,877,1.821614227,202260.5013,0.407212383
149,812,1.855540356,257702.0286,0.607199587
47,690,1.902051984,120884.0939,0.393840908
130,664,1.945827633,104407.323,0.280642812
24,631,1.897400821,73593.5587,0.368400136
20,630,1.908618331,93173.59926,0.399549008
314,627,1.97373461,183893.6553,0.4296077
13,607,1.923392613,80496.77286,0.321472699
25,582,1.937346101,122953.3037,0.418733407
99,573,1.924213406,75199.23835,0.363780719
159,509,1.97619699,63022.69472,0.251944787
366,504,2.005745554,75903.33952,0.403067256
1607,500,2.054719562,21993.94786,0.972640926
329,497,1.950205198,44912.70082,0.298955251
310,497,2.047879617,78016.96275,0.666942927
35,467,1.98248974,30126.86208,0.290928273
28,466,1.980300958,37863.48857,0.272769466
2845,465,2.137346101,12239.70218,0.994727989
56,465,1.97127223,41928.73504,0.287538881
268,462,1.996990424,38253.54773,0.227940365
150,460,2.038030096,51920.00757,0.187274306
77,460,1.98002736,34184.66971,0.294150112
2424,455,2.264295486,5463.44003,1
1620,453,2.320383037,4959.900745,0.96180164
3467,447,2.196169631,8566.661944,0.936126414
3261,442,2.140082079,13585.76518,0.922331584
259,440,2.065663475,63530.01573,0.19774038
1545,438,2.306703146,4421.218089,0.928070868
3527,438,2.178659371,8697.51363,0.920876676
169,434,2.059917921,97736.5213,0.174403423
3251,429,2.068946648,16669.80742,0.904801625
283,427,1.999452804,39183.83289,0.510414866
299,427,2.016689466,54157.48938,0.209302087
3189,426,2.366621067,3733.725552,0.934285333
3624,425,2.311901505,3966.887814,0.923457059
3278,425,2.398632011,2897.805692,0.951893648
1576,423,2.577017784,1249.843902,0.935122283
3324,422,2.197811218,7502.728218,0.912329549
3486,421,2.12995896,12093.07998,0.901425103
0,420,2.007660739,31159.95388,0.252440109
124,419,2.009849521,30603.84153,0.264992038
39,418,1.981942544,39806.05108,0.264204028
1619,406,2.288372093,4720.126851,0.860661596
152,406,2.033926129,47965.37554,0.323782144
2983,405,2.251162791,5462.329594,0.896635507
1503,401,2.34500684,4012.058797,0.870754716
1568,395,2.410396717,2323.239523,0.878196597
5,394,2.006839945,34628.51814,0.24178861
104,393,2.005745554,40760.93741,0.267102322
3231,392,2.522845417,1605.926295,0.881280773
3449,391,2.179206566,8162.134098,0.860633436
3380,389,2.383310534,2800.421776,0.881168363
1605,389,2.272229822,4748.809178,0.810880923
29,389,2.017236662,27384.50177,0.216855242
308,389,2.049521204,52721.34245,0.311421087
3460,387,2.299042408,3835.137158,0.874964565
3298,386,2.374281806,2912.433524,0.872368573
3211,386,2.437756498,1561.467465,0.860031173
3208,385,2.175923393,7420.100773,0.852709326
3430,385,2.216142271,4705.061246,0.849322152
3154,382,2.364158687,3172.295766,0.835128547
3263,381,2.253077975,4929.179613,0.835046862
2857,380,2.317647059,4721.956009,0.782819372
3607,380,2.274692202,3888.091264,0.833949992
46,379,2.052804378,29352.62074,0.200026838
3385,377,2.357865937,2478.458112,0.85387736
1579,377,2.089740082,13163.34706,0.764163725
276,377,2.10506156,32679.54727,0.14962498
3497,372,2.437209302,2604.191133,0.83172692
1544,371,2.367715458,2894.884155,0.796559071
3264,369,2.373461012,2706.269371,0.839675937
3270,364,2.192886457,6250.751018,0.790463029
3067,364,2.473050616,1724.303567,0.8213397
3222,363,2.567989056,904.3525377,0.839105401
3292,363,2.430916553,1586.986651,0.84609068
3212,363,2.501504788,1321.029259,0.809032166
10,363,2.004103967,42197.83334,0.232008565
12,362,2.014500684,44326.5066,0.241135041
396,361,2.033105335,21801.41432,0.196488506
43,361,2.019151847,13939.40708,0.248579896
3398,360,2.338440492,2507.446988,0.81110097
3370,359,2.494117647,1384.022342,0.816457064
3386,359,2.697674419,483.151286,0.83009043
3499,356,2.304240766,3443.623875,0.813489094
31,356,2.01751026,11163.08821,0.248293002
3328,354,2.20629275,10048.71798,0.720824585
3215,354,2.117099863,9079.562336,0.731531982
3532,353,2.473871409,1662.014884,0.776324731
1538,353,2.631463748,1186.718712,0.771722764
244,353,2.008207934,13934.45176,0.264446211
49,352,2.021614227,18828.89942,0.209433253
3570,350,2.383857729,2036.989745,0.794462588
148,350,2.058002736,50177.26705,0.200624867
3418,349,2.399726402,2335.769631,0.796235939
3248,348,2.362243502,2980.660156,0.778041786
3593,348,2.292202462,3524.189668,0.783967825
2692,348,2.225718194,4575.572588,0.750919075
3393,347,2.347195622,2569.668799,0.803070439
3412,346,2.422435021,1515.314525,0.790250208
3285,346,2.601641587,1137.68843,0.788014247
3495,345,2.468946648,2934.372122,0.796866591
3454,345,2.442407661,1872.958306,0.792693245
41,345,2.051436389,11489.39897,0.213205567
3201,343,2.092749658,10974.13106,0.699571667
544,343,2.050889193,34051.01825,0.152599799
2076,342,2.220519836,6749.866615,0.735071357
3247,342,2.317647059,3418.426774,0.720996921
526,342,2.1124487,32720.89716,0.142595563
2853,340,2.212311902,5281.642404,0.726766457
1584,340,2.300410397,2511.970679,0.749809887
3520,339,2.346648427,2451.664508,0.781435726
3507,339,2.082352941,12206.69967,0.696041112
3253,339,2.624623803,886.5349703,0.739133716
90,339,2.024076607,32793.08941,0.283955952
125,339,2.042681259,36623.12941,0.157716686
1609,337,2.09630643,13115.09165,0.670489641
3455,337,2.382216142,2140.656721,0.783971854
1543,337,2.544459644,1304.844571,0.767813165
1618,337,2.19370725,7378.608904,0.747683497
3207,336,2.671956224,561.029267,0.77258217
