Id,degree,Betweenness Centrality,Eigenvector Centrality,PageRank
271,1383,43700000.00 ,0.18 ,0.014949629
144,1367,23500000.00 ,0.80 ,0.00355412
191,1261,23200000.00 ,0.67 ,0.003253411
80,1245,40700000.00 ,0.66 ,0.003291202
197,1244,19100000.00 ,0.80 ,0.003060129
85,1143,17100000.00 ,0.89 ,0.002315871
245,1099,17000000.00 ,0.84 ,0.00258111
148,1068,23800000.00 ,0.60 ,0.002793698
79,1026,13900000.00 ,1.00 ,0.00207199
92,924,24500000.00 ,0.53 ,0.00318857
96,908,14200000.00 ,0.52 ,0.002203028
1233,834,17200000.00 ,0.68 ,0.00167491
93,829,23900000.00 ,0.46 ,0.003217103
182,815,13500000.00 ,0.85 ,0.001677484
89,791,10800000.00 ,0.69 ,0.001604712
244,711,12700000.00 ,0.33 ,0.001860944
188,705,11600000.00 ,0.58 ,0.001610897
95,686,12500000.00 ,0.70 ,0.001530625
97,666,8212292.33 ,0.53 ,0.001535098
107,609,7417805.39 ,0.34 ,0.001253497
91,607,6803983.55 ,0.58 ,0.001321494
184,597,10600000.00 ,0.35 ,0.001856972
1268,591,10900000.00 ,0.34 ,0.002407249
1754,552,6059804.44 ,0.49 ,0.001214552
1736,542,5469124.50 ,0.61 ,0.001109785
895,540,4430239.04 ,0.62 ,0.001081675
94,539,11100000.00 ,0.22 ,0.001617571
192,538,6395607.16 ,0.48 ,0.001119769
3669,537,4231822.18 ,0.31 ,0.001238858
246,521,12500000.00 ,0.23 ,0.001643966
87,514,7772452.39 ,0.39 ,0.001127571
90,505,10000000.00 ,0.31 ,0.001140619
308,497,7162833.39 ,0.45 ,0.001370884
440,496,7461026.62 ,0.66 ,8.51E-04
896,486,6758672.08 ,0.39 ,0.001252481
304,481,10700000.00 ,0.31 ,0.001112802
2045,479,3851020.64 ,0.39 ,0.001081715
84,468,3258862.38 ,0.61 ,8.29E-04
1799,463,2518055.96 ,0.54 ,7.92E-04
862,459,4072445.55 ,0.53 ,7.97E-04
77,455,5132042.85 ,0.47 ,9.91E-04
105,449,12500000.00 ,0.21 ,0.001647215
1271,446,4324903.04 ,0.38 ,9.14E-04
103,424,5347140.41 ,0.41 ,0.001059042
113,423,5903983.68 ,0.18 ,0.001027843
78,422,5738721.56 ,0.44 ,9.73E-04
135,421,4719353.91 ,0.37 ,0.001005319
1850,417,3038347.23 ,0.38 ,9.16E-04
193,405,3584583.04 ,0.48 ,8.12E-04
2034,405,5374605.66 ,0.33 ,7.94E-04
187,399,3199160.93 ,0.44 ,8.24E-04
112,397,5129928.58 ,0.33 ,9.45E-04
405,396,3267415.75 ,0.52 ,6.93E-04
119,389,6495698.61 ,0.09 ,0.001629355
196,386,4862051.96 ,0.21 ,8.08E-04
2431,386,9088775.90 ,0.29 ,0.001216858
118,383,9013856.28 ,0.11 ,0.001070133
181,377,2837131.75 ,0.39 ,7.83E-04
1292,377,1988909.38 ,0.36 ,7.32E-04
242,366,5646990.45 ,0.23 ,0.001071381
203,365,4447508.39 ,0.32 ,9.16E-04
214,365,2665216.78 ,0.15 ,6.88E-04
468,364,1956692.07 ,0.52 ,6.15E-04
3576,363,4041746.15 ,0.18 ,8.05E-04
883,361,2162291.67 ,0.35 ,6.62E-04
225,344,5196253.59 ,0.19 ,9.26E-04
102,343,3111275.09 ,0.30 ,7.19E-04
150,343,5095109.58 ,0.12 ,0.001103001
165,339,5342832.74 ,0.40 ,8.06E-04
186,339,2383181.04 ,0.27 ,6.73E-04
2406,339,4810968.19 ,0.29 ,8.31E-04
7167,338,1812411.07 ,0.33 ,6.98E-04
110,332,5389012.48 ,0.16 ,8.85E-04
5257,330,1736425.79 ,0.23 ,6.88E-04
1525,327,947022.85 ,0.42 ,5.65E-04
2409,322,2052083.79 ,0.33 ,6.72E-04
201,314,4360800.05 ,0.21 ,7.31E-04
1499,312,1089422.10 ,0.44 ,5.11E-04
177,310,6276876.18 ,0.17 ,0.001138074
208,310,2294713.55 ,0.38 ,5.95E-04
1770,310,4336267.45 ,0.24 ,8.90E-04
56,309,5111666.97 ,0.29 ,7.70E-04
1782,308,1528210.68 ,0.41 ,5.46E-04
2503,308,3588091.42 ,0.17 ,7.74E-04
202,307,5358351.69 ,0.26 ,7.97E-04
1833,306,1603941.10 ,0.39 ,5.57E-04
470,305,1358234.93 ,0.44 ,5.27E-04
477,304,1824525.97 ,0.39 ,5.20E-04
1231,302,1695245.22 ,0.46 ,5.16E-04
1083,300,840351.20 ,0.41 ,5.17E-04
1780,299,1615520.00 ,0.35 ,5.57E-04
5564,298,1121722.56 ,0.29 ,6.28E-04
71,297,5362777.52 ,0.21 ,8.60E-04
1739,297,1055022.80 ,0.34 ,5.19E-04
1493,296,2195883.52 ,0.31 ,5.26E-04
195,295,2623453.12 ,0.18 ,6.97E-04
73,293,3701855.97 ,0.34 ,6.63E-04
1758,292,1613325.76 ,0.38 ,5.23E-04
1128,286,2499477.69 ,0.14 ,6.58E-04
237,285,5485167.35 ,0.12 ,9.66E-04
137,284,2358064.31 ,0.36 ,5.15E-04
872,283,814850.78 ,0.28 ,4.79E-04
448,282,1544618.69 ,0.38 ,5.08E-04
890,281,1037541.32 ,0.41 ,4.86E-04
206,280,2432322.84 ,0.15 ,6.41E-04
1734,280,2006230.35 ,0.28 ,5.17E-04
478,279,1136613.85 ,0.35 ,4.90E-04
261,278,5257482.15 ,0.14 ,8.30E-04
143,277,3945028.82 ,0.28 ,7.53E-04
641,275,887329.43 ,0.29 ,4.80E-04
1282,275,647701.39 ,0.33 ,4.80E-04
240,271,4473383.86 ,0.16 ,9.71E-04
1743,270,786670.85 ,0.38 ,4.49E-04
1087,269,1071152.75 ,0.42 ,4.48E-04
167,264,6095478.87 ,0.10 ,9.80E-04
200,263,2014674.35 ,0.15 ,6.16E-04
213,263,1736491.08 ,0.21 ,4.93E-04
490,263,2035275.13 ,0.32 ,4.82E-04
205,262,1815676.77 ,0.07 ,8.51E-04
861,261,1592068.87 ,0.29 ,4.63E-04
640,258,1117006.94 ,0.35 ,4.11E-04
2654,258,1801377.30 ,0.20 ,4.71E-04
2554,258,1622833.29 ,0.17 ,4.90E-04
1510,257,1096754.12 ,0.30 ,4.59E-04
