Id,¶È,Eigenvector Centrality,PageRank,Betweenness Centrality
107,1045,0.57904 ,0.006889586,3916560.14 
1684,792,0.20314 ,0.006312616,2753286.69 
1912,755,1.00000 ,0.003821495,1868918.21 
3437,547,0.07484 ,0.007578569,1924506.15 
0,347,0.04917 ,0.00623209,1192496.11 
2543,294,0.71804 ,6.81E-04,61983.05 
2347,291,0.76484 ,6.37E-04,26081.23 
1888,254,0.35457 ,7.26E-04,965.31 
1800,245,0.34279 ,7.12E-04,1245.61 
1663,235,0.33484 ,6.77E-04,8966.68 
1352,234,0.33180 ,6.82E-04,9054.53 
2266,234,0.73278 ,4.62E-04,13919.94 
483,231,0.08494 ,0.001295572,84019.61 
348,229,0.05358 ,0.002321021,309711.21 
1730,226,0.31386 ,6.74E-04,1114.05 
1985,224,0.70963 ,4.43E-04,1079.53 
1941,223,0.52859 ,5.39E-04,14077.05 
2233,222,0.71818 ,4.28E-04,930.70 
2142,221,0.70803 ,4.35E-04,732.93 
1431,220,0.31816 ,6.69E-04,1256.70 
1199,217,0.31743 ,6.17E-04,555.44 
1584,211,0.30132 ,6.45E-04,2151.99 
2206,210,0.71547 ,3.88E-04,99.31 
1768,209,0.29079 ,6.27E-04,912.94 
2229,207,0.69224 ,3.95E-04,285.82 
2410,207,0.69569 ,3.89E-04,169.74 
2611,207,0.68108 ,4.00E-04,307.29 
1086,205,0.27195 ,6.68E-04,4920.48 
1589,205,0.30843 ,5.81E-04,401.85 
2047,205,0.19337 ,8.32E-04,12031.53 
2218,205,0.70007 ,3.82E-04,119.63 
2078,204,0.69985 ,3.78E-04,107.63 
1993,203,0.69458 ,3.81E-04,144.26 
2123,203,0.69542 ,3.75E-04,85.98 
1746,202,0.30198 ,5.76E-04,573.46 
2464,202,0.70024 ,3.71E-04,66.98 
1827,201,0.28847 ,5.97E-04,685.22 
2240,201,0.69150 ,3.73E-04,94.67 
2507,201,0.69229 ,3.74E-04,105.11 
2560,201,0.67687 ,3.86E-04,387.14 
2244,200,0.69264 ,3.68E-04,71.75 
1983,199,0.66999 ,3.82E-04,209.25 
2309,199,0.68286 ,3.76E-04,208.97 
1126,198,0.29666 ,5.77E-04,7473.28 
2088,198,0.68547 ,3.69E-04,93.72 
2131,198,0.68320 ,3.68E-04,138.35 
2340,198,0.69004 ,3.65E-04,75.16 
2602,198,0.67812 ,3.71E-04,140.21 
2324,197,0.67043 ,3.75E-04,416.82 
2369,197,0.68023 ,3.64E-04,82.46 
2590,197,0.68133 ,3.65E-04,79.99 
2542,196,0.66170 ,3.76E-04,11060.70 
2604,196,0.68318 ,3.68E-04,122.39 
1804,195,0.29287 ,5.56E-04,360.33 
2073,195,0.68280 ,3.61E-04,70.61 
2220,195,0.68181 ,3.59E-04,58.62 
2607,195,0.67554 ,3.61E-04,77.13 
2188,194,0.67288 ,3.59E-04,70.30 
1390,193,0.28821 ,5.51E-04,405.28 
2059,193,0.68159 ,3.54E-04,46.44 
2172,193,0.66357 ,3.60E-04,86.87 
1943,192,0.66626 ,3.59E-04,89.16 
2150,192,0.66712 ,3.60E-04,133.99 
1833,191,0.29368 ,5.42E-04,322.53 
1946,191,0.66800 ,3.53E-04,59.48 
2428,191,0.65597 ,3.60E-04,113.89 
2526,191,0.63035 ,3.84E-04,430.71 
1377,190,0.27665 ,5.62E-04,607.73 
1612,190,0.28194 ,5.44E-04,696.24 
1917,190,0.66212 ,3.52E-04,62.32 
2201,190,0.66999 ,3.50E-04,52.38 
2331,190,0.65988 ,3.53E-04,81.81 
2601,190,0.66717 ,3.51E-04,61.17 
1621,189,0.28765 ,5.51E-04,7028.26 
1938,189,0.66508 ,3.50E-04,59.47 
2090,189,0.67284 ,3.48E-04,44.88 
2384,188,0.21077 ,5.81E-04,3663.37 
2118,188,0.66466 ,3.47E-04,54.71 
2564,188,0.65557 ,3.50E-04,77.54 
2624,188,0.65917 ,3.54E-04,223.50 
1714,187,0.28797 ,5.26E-04,284.29 
1962,187,0.66032 ,3.46E-04,58.94 
2030,187,0.66179 ,3.46E-04,57.61 
2586,187,0.66805 ,3.44E-04,39.09 
1559,186,0.28191 ,5.38E-04,433.93 
2064,186,0.65388 ,3.46E-04,65.22 
2184,186,0.64933 ,3.48E-04,79.54 
2625,186,0.65857 ,3.43E-04,45.54 
1707,185,0.28030 ,5.24E-04,293.39 
2275,185,0.65537 ,3.42E-04,47.42 
2593,185,0.65690 ,3.40E-04,40.34 
2615,185,0.65358 ,3.43E-04,56.63 
2111,184,0.20575 ,5.60E-04,3360.80 
2103,184,0.64221 ,3.46E-04,84.90 
2290,184,0.65486 ,3.38E-04,38.22 
1078,183,0.28108 ,5.18E-04,397.39 
2323,183,0.64263 ,3.39E-04,47.73 
2414,183,0.64531 ,3.40E-04,66.35 
1376,182,0.27320 ,5.28E-04,6447.40 
1613,182,0.27555 ,5.22E-04,334.52 
1835,182,0.26522 ,5.55E-04,6691.74 
2339,182,0.62770 ,3.42E-04,84.56 
2600,182,0.63180 ,3.40E-04,66.36 
2104,181,0.64359 ,3.34E-04,39.59 
2500,181,0.63759 ,3.34E-04,44.89 
2271,180,0.63952 ,3.36E-04,56.73 
2326,180,0.63824 ,3.34E-04,51.61 
1610,179,0.26742 ,5.11E-04,308.87 
2376,179,0.61933 ,3.41E-04,131.14 
2395,179,0.63085 ,3.37E-04,153.28 
1399,178,0.27465 ,5.13E-04,382.34 
1984,178,0.62676 ,3.35E-04,73.51 
2139,178,0.63741 ,3.29E-04,39.39 
2409,178,0.62826 ,3.32E-04,61.29 
2492,178,0.63470 ,3.30E-04,42.07 
1622,177,0.26297 ,5.13E-04,701.62 
2468,177,0.55247 ,3.72E-04,9885.82 
2093,177,0.62806 ,3.35E-04,132.05 
2354,177,0.63189 ,3.29E-04,39.50 
1971,176,0.62142 ,3.29E-04,56.27 
1979,176,0.61374 ,3.29E-04,55.36 
2045,176,0.62430 ,3.26E-04,37.86 
2381,176,0.62864 ,3.26E-04,45.13 
1391,175,0.26313 ,5.05E-04,332.20 
2199,175,0.19971 ,5.49E-04,4757.66 
2043,174,0.61775 ,3.24E-04,44.41 
2278,174,0.60632 ,3.33E-04,330.43 
1211,173,0.26689 ,4.99E-04,302.75 
2033,173,0.61258 ,3.22E-04,40.09 
2037,173,0.57864 ,3.48E-04,235.02 
2200,173,0.60397 ,3.24E-04,58.91 
2553,173,0.61340 ,3.27E-04,94.77 
2630,173,0.61819 ,3.22E-04,40.60 
2081,172,0.20732 ,5.20E-04,3709.24 
1966,172,0.59127 ,3.35E-04,173.10 
2356,172,0.62421 ,3.18E-04,28.05 
1551,171,0.25731 ,4.93E-04,271.77 
2007,171,0.24937 ,4.96E-04,11600.11 
2140,171,0.61324 ,3.18E-04,37.48 
1577,170,0.20508 ,5.32E-04,324273.31 
686,170,0.02261 ,0.002216716,242254.37 
2404,170,0.58223 ,3.25E-04,92.89 
1471,169,0.25486 ,5.12E-04,439.50 
2124,169,0.60699 ,3.15E-04,36.47 
2460,169,0.60359 ,3.16E-04,40.94 
2069,168,0.58458 ,3.26E-04,130.37 
2190,168,0.60241 ,3.12E-04,31.21 
