Id,¶È,PageRank,Betweenness Centrality,Eigenvector Centrality
363,1745,0.001715697,77988548.2602 ,0.8240 
1677,1515,0.002601604,90904643.6273 ,0.4361 
14,1503,0.003061505,207918062.3701 ,1.0000 
1867,1475,0.001800597,74812278.3129 ,0.6240 
2776,1077,0.001319229,59205816.0490 ,0.4273 
40,1017,0.001169918,64121490.6611 ,0.6135 
530,828,0.001576947,80464971.8890 ,0.6005 
23,792,8.58E-04,23137905.8831 ,0.5527 
185,790,0.001305297,51301281.5291 ,0.5741 
30,765,6.60E-04,10827661.4946 ,0.4969 
1016,765,8.54E-04,29425430.6728 ,0.3870 
323,752,0.001022606,30581162.3429 ,0.5066 
2743,734,7.27E-04,31878458.1525 ,0.3867 
132,673,0.001142784,44881841.5920 ,0.5113 
150,664,5.85E-04,9523216.4496 ,0.5107 
763,662,5.71E-04,11544809.4292 ,0.3296 
140,646,7.20E-04,20775405.2331 ,0.4613 
36,645,6.67E-04,14194977.0847 ,0.4657 
114,629,9.25E-04,28187133.4855 ,0.4744 
1530,613,5.93E-04,16563497.4921 ,0.3713 
157,596,4.98E-04,5386699.9585 ,0.4338 
2510,594,7.66E-04,18369171.5311 ,0.4234 
0,570,5.59E-04,11127712.9009 ,0.3843 
292,559,5.06E-04,8110141.3473 ,0.4615 
220,552,7.53E-04,20283683.5813 ,0.4033 
230,546,0.001323429,58732771.5591 ,0.5141 
27,536,4.67E-04,5311477.3532 ,0.3361 
24,534,6.37E-04,14811554.1343 ,0.4311 
73,529,6.40E-04,18064915.6378 ,0.4358 
1937,517,6.95E-04,20970236.7242 ,0.1541 
131,510,5.50E-04,10866801.8342 ,0.3627 
173,501,6.44E-04,15457430.5827 ,0.3660 
124,497,7.71E-04,24536932.4441 ,0.4619 
3230,494,4.80E-04,17136873.7358 ,0.2807 
362,488,5.14E-04,12175479.7420 ,0.2675 
1896,488,4.50E-04,11900834.8958 ,0.3162 
2660,486,7.03E-04,21170055.8657 ,0.1568 
364,483,4.45E-04,10985368.0582 ,0.3046 
529,479,0.001121905,37459845.1458 ,0.4508 
4125,478,0.001134779,28622416.0947 ,0.1125 
70,471,4.31E-04,5070752.6996 ,0.3679 
205,471,4.12E-04,6235973.4581 ,0.3552 
186,470,5.77E-04,14880745.8772 ,0.4268 
183,466,5.60E-04,13742105.2936 ,0.3793 
1014,460,4.80E-04,10739755.1255 ,0.3019 
31,459,4.10E-04,5723649.0097 ,0.2852 
1679,458,5.55E-04,10752557.0298 ,0.1839 
210,457,3.87E-04,4817087.8070 ,0.4058 
174,455,5.40E-04,10521932.6640 ,0.3579 
286,451,4.43E-04,7474308.8380 ,0.3946 
1051,451,6.15E-04,17786898.9381 ,0.3446 
121,448,5.70E-04,12673023.6338 ,0.3182 
86,443,3.91E-04,4543733.3961 ,0.3528 
1960,443,7.76E-04,23449427.0735 ,0.3629 
2137,438,9.28E-04,31043612.9900 ,0.3662 
301,434,3.83E-04,4958958.8759 ,0.3220 
