Id,degree,pageranks,eigencentrality,betweenesscentrality
17010,50.000 ,0.000 ,0.007 ,109018.023 
1943,20.000 ,0.000 ,0.001 ,70233.970 
2489,60.000 ,0.000 ,0.005 ,95256.758 
3426,4.000 ,0.000 ,0.000 ,0.000 
4049,36.000 ,0.000 ,0.002 ,126402.558 
16961,62.000 ,0.000 ,0.007 ,163630.302 
17897,6.000 ,0.000 ,0.000 ,28.771 
26904,24.000 ,0.000 ,0.002 ,10329.260 
27801,236.000 ,0.000 ,0.044 ,242757.189 
32403,28.000 ,0.000 ,0.001 ,100415.823 
35262,502.000 ,0.000 ,0.850 ,201942.791 
40848,6.000 ,0.000 ,0.001 ,0.000 
44114,34.000 ,0.000 ,0.005 ,130824.758 
45648,60.000 ,0.000 ,0.002 ,395855.056 
45654,14.000 ,0.000 ,0.000 ,11535.450 
47702,4.000 ,0.000 ,0.000 ,0.000 
49335,172.000 ,0.000 ,0.090 ,168864.623 
55416,44.000 ,0.000 ,0.006 ,80871.036 
56358,258.000 ,0.000 ,0.044 ,546967.392 
64003,40.000 ,0.000 ,0.005 ,99731.234 
64714,74.000 ,0.000 ,0.004 ,439607.285 
66411,128.000 ,0.000 ,0.017 ,1096025.420 
71844,40.000 ,0.000 ,0.010 ,27686.097 
72504,30.000 ,0.000 ,0.005 ,17516.857 
79185,138.000 ,0.000 ,0.021 ,440942.157 
84491,298.000 ,0.000 ,0.145 ,594917.899 
5874,4.000 ,0.000 ,0.000 ,0.000 
14789,46.000 ,0.000 ,0.006 ,154879.562 
33245,12.000 ,0.000 ,0.000 ,8931.147 
34338,4.000 ,0.000 ,0.000 ,0.000 
35425,42.000 ,0.000 ,0.001 ,122138.186 
45957,16.000 ,0.000 ,0.001 ,13979.852 
50498,78.000 ,0.000 ,0.002 ,367721.659 
64959,114.000 ,0.000 ,0.028 ,377085.710 
71391,28.000 ,0.000 ,0.001 ,122775.724 
73805,18.000 ,0.000 ,0.001 ,15848.193 
9497,136.000 ,0.000 ,0.038 ,1479586.714 
54775,14.000 ,0.000 ,0.000 ,5575.371 
55543,14.000 ,0.000 ,0.000 ,25420.427 
60793,100.000 ,0.000 ,0.013 ,188670.157 
69509,8.000 ,0.000 ,0.000 ,1703.748 
74685,48.000 ,0.000 ,0.003 ,230702.887 
1813,224.000 ,0.000 ,0.032 ,445322.593 
8545,6.000 ,0.000 ,0.000 ,1245.756 
21182,18.000 ,0.000 ,0.000 ,31859.936 
23161,6.000 ,0.000 ,0.000 ,0.000 
23931,36.000 ,0.000 ,0.001 ,81414.423 
24948,10.000 ,0.000 ,0.000 ,43246.270 
27133,12.000 ,0.000 ,0.000 ,713.276 
35673,24.000 ,0.000 ,0.001 ,59739.036 
35715,50.000 ,0.000 ,0.002 ,163451.607 
37376,14.000 ,0.000 ,0.000 ,32972.377 
39533,30.000 ,0.000 ,0.001 ,50165.609 
39731,66.000 ,0.000 ,0.003 ,283688.538 
51356,4.000 ,0.000 ,0.000 ,0.000 
53647,16.000 ,0.000 ,0.000 ,24686.588 
63397,8.000 ,0.000 ,0.000 ,9425.489 
63448,6.000 ,0.000 ,0.000 ,0.000 
69438,24.000 ,0.000 ,0.001 ,37946.200 
72546,6.000 ,0.000 ,0.000 ,0.000 
75605,26.000 ,0.000 ,0.001 ,55189.536 
77229,14.000 ,0.000 ,0.000 ,25590.043 
78028,20.000 ,0.000 ,0.001 ,47354.409 
79437,46.000 ,0.000 ,0.002 ,150964.293 
80388,6.000 ,0.000 ,0.000 ,0.000 
83411,30.000 ,0.000 ,0.001 ,124655.462 
87258,38.000 ,0.000 ,0.002 ,336865.476 
10199,118.000 ,0.000 ,0.012 ,664012.543 
509,2.000 ,0.000 ,0.000 ,0.000 
616,8.000 ,0.000 ,0.000 ,7089.978 
1039,18.000 ,0.000 ,0.001 ,48337.823 
2885,214.000 ,0.000 ,0.043 ,244216.507 
3959,16.000 ,0.000 ,0.002 ,7511.654 
13649,16.000 ,0.000 ,0.006 ,3358.956 
13734,64.000 ,0.000 ,0.006 ,432348.889 
14271,6.000 ,0.000 ,0.000 ,0.000 
16341,8.000 ,0.000 ,0.001 ,6298.607 
17442,2.000 ,0.000 ,0.000 ,0.000 
20269,654.000 ,0.001 ,0.908 ,635390.436 
21627,16.000 ,0.000 ,0.001 ,2922.662 
21762,6.000 ,0.000 ,0.000 ,0.000 
22647,52.000 ,0.000 ,0.013 ,289976.057 
22972,14.000 ,0.000 ,0.001 ,13080.482 
25791,564.000 ,0.000 ,0.858 ,688710.215 
27559,18.000 ,0.000 ,0.001 ,41067.477 
29294,30.000 ,0.000 ,0.001 ,65451.955 
30674,24.000 ,0.000 ,0.001 ,72456.517 
32842,38.000 ,0.000 ,0.002 ,119122.249 
35819,12.000 ,0.000 ,0.000 ,0.000 
39157,12.000 ,0.000 ,0.000 ,0.000 
40046,26.000 ,0.000 ,0.012 ,12908.799 
42614,12.000 ,0.000 ,0.004 ,33524.746 
43649,16.000 ,0.000 ,0.001 ,22684.103 
46432,88.000 ,0.000 ,0.024 ,303993.826 
47151,4.000 ,0.000 ,0.000 ,0.000 
47155,4.000 ,0.000 ,0.000 ,0.000 
47194,44.000 ,0.000 ,0.003 ,112966.610 
47721,10.000 ,0.000 ,0.000 ,1516.443 
47739,14.000 ,0.000 ,0.004 ,41605.232 
48145,12.000 ,0.000 ,0.000 ,7298.173 
48203,34.000 ,0.000 ,0.005 ,10807.659 
48961,2.000 ,0.000 ,0.000 ,0.000 
49342,8.000 ,0.000 ,0.000 ,0.000 
49811,172.000 ,0.000 ,0.026 ,253609.995 
51402,4.000 ,0.000 ,0.000 ,0.000 
52484,178.000 ,0.000 ,0.038 ,1010042.857 
52802,46.000 ,0.000 ,0.005 ,314644.859 
54761,14.000 ,0.000 ,0.001 ,13362.052 
54806,40.000 ,0.000 ,0.005 ,85008.614 
56493,20.000 ,0.000 ,0.001 ,9003.923 
58574,44.000 ,0.000 ,0.002 ,183103.079 
61729,82.000 ,0.000 ,0.040 ,277341.069 
63071,40.000 ,0.000 ,0.002 ,172678.318 
63819,60.000 ,0.000 ,0.003 ,91816.863 
63948,234.000 ,0.000 ,0.154 ,240642.248 
64418,30.000 ,0.000 ,0.004 ,60914.328 
64432,12.000 ,0.000 ,0.000 ,34.660 
65032,16.000 ,0.000 ,0.000 ,70079.579 
65060,24.000 ,0.000 ,0.001 ,90458.349 
73560,30.000 ,0.000 ,0.006 ,27803.692 
73820,6.000 ,0.000 ,0.000 ,0.000 
74899,106.000 ,0.000 ,0.005 ,627195.709 
81913,22.000 ,0.000 ,0.002 ,41041.810 
88067,12.000 ,0.000 ,0.000 ,0.000 
88073,10.000 ,0.000 ,0.004 ,44953.726 
88436,60.000 ,0.000 ,0.012 ,146685.819 
89099,52.000 ,0.000 ,0.008 ,49878.272 
4137,14.000 ,0.000 ,0.000 ,8314.856 
7138,90.000 ,0.000 ,0.018 ,164606.912 
27599,86.000 ,0.000 ,0.018 ,67612.189 
35048,24.000 ,0.000 ,0.001 ,98399.063 
35088,6.000 ,0.000 ,0.000 ,0.000 
35341,36.000 ,0.000 ,0.001 ,110956.402 
41370,18.000 ,0.000 ,0.000 ,53118.856 
44242,2.000 ,0.000 ,0.000 ,0.000 
53381,4.000 ,0.000 ,0.000 ,0.000 
57809,160.000 ,0.000 ,0.086 ,774216.350 
58474,14.000 ,0.000 ,0.001 ,40987.865 
71712,10.000 ,0.000 ,0.000 ,2726.229 
77655,24.000 ,0.000 ,0.001 ,63641.231 
81318,6.000 ,0.000 ,0.000 ,0.000 
82414,2.000 ,0.000 ,0.000 ,0.000 
82495,16.000 ,0.000 ,0.001 ,28192.636 
86306,20.000 ,0.000 ,0.001 ,80558.979 
1817,22.000 ,0.000 ,0.001 ,27673.214 
5289,36.000 ,0.000 ,0.001 ,109301.362 
11575,28.000 ,0.000 ,0.001 ,6635.492 
25275,252.000 ,0.000 ,0.136 ,620324.313 
26954,52.000 ,0.000 ,0.002 ,180229.660 
33598,2.000 ,0.000 ,0.000 ,0.000 
43618,26.000 ,0.000 ,0.001 ,67706.397 
48834,46.000 ,0.000 ,0.002 ,124748.905 
54104,274.000 ,0.001 ,0.048 ,1181034.262 
62885,20.000 ,0.000 ,0.001 ,2094.858 
77170,16.000 ,0.000 ,0.001 ,10448.096 
78736,64.000 ,0.000 ,0.006 ,211566.886 
84809,32.000 ,0.000 ,0.001 ,90821.661 
31569,58.000 ,0.000 ,0.002 ,202161.686 
977,22.000 ,0.000 ,0.001 ,17801.917 
8659,68.000 ,0.000 ,0.002 ,253148.280 
8803,18.000 ,0.000 ,0.001 ,14772.388 
14126,12.000 ,0.000 ,0.001 ,14732.390 
14490,18.000 ,0.000 ,0.001 ,8922.852 
15663,18.000 ,0.000 ,0.001 ,25076.508 
16471,10.000 ,0.000 ,0.000 ,22404.000 
26432,8.000 ,0.000 ,0.000 ,0.000 
31086,46.000 ,0.000 ,0.005 ,429141.298 
32120,52.000 ,0.000 ,0.002 ,192076.587 
37048,46.000 ,0.000 ,0.002 ,101068.955 
37591,54.000 ,0.000 ,0.002 ,500288.953 
41954,18.000 ,0.000 ,0.001 ,27166.229 
43739,152.000 ,0.000 ,0.008 ,636916.745 
49286,220.000 ,0.000 ,0.039 ,221998.720 
62089,38.000 ,0.000 ,0.001 ,142084.323 
65747,30.000 ,0.000 ,0.002 ,230797.852 
68340,8.000 ,0.000 ,0.000 ,0.000 
68712,12.000 ,0.000 ,0.000 ,889.358 
73085,216.000 ,0.000 ,0.041 ,457516.744 
73185,6.000 ,0.000 ,0.000 ,0.000 
73477,34.000 ,0.000 ,0.002 ,100700.488 
75359,36.000 ,0.000 ,0.002 ,106279.073 
77737,18.000 ,0.000 ,0.000 ,2181.224 
81316,56.000 ,0.000 ,0.002 ,314586.088 
81877,60.000 ,0.000 ,0.002 ,288821.642 
83833,12.000 ,0.000 ,0.000 ,422.474 
84909,16.000 ,0.000 ,0.000 ,5455.656 
6631,4.000 ,0.000 ,0.000 ,330.743 
8687,36.000 ,0.000 ,0.002 ,21996.030 
20350,56.000 ,0.000 ,0.002 ,397020.993 
26707,16.000 ,0.000 ,0.001 ,6492.416 
31690,28.000 ,0.000 ,0.001 ,71987.541 
31803,8.000 ,0.000 ,0.001 ,2511.786 
32140,16.000 ,0.000 ,0.000 ,4471.571 
48014,166.000 ,0.000 ,0.079 ,138183.754 
49820,24.000 ,0.000 ,0.001 ,35020.593 
53822,60.000 ,0.000 ,0.002 ,376155.400 
56899,20.000 ,0.000 ,0.001 ,40403.520 
62941,46.000 ,0.000 ,0.005 ,143279.599 
69024,54.000 ,0.000 ,0.005 ,306983.454 
70179,34.000 ,0.000 ,0.001 ,101830.205 
71080,18.000 ,0.000 ,0.001 ,11743.906 
71444,20.000 ,0.000 ,0.001 ,34654.814 
73004,18.000 ,0.000 ,0.001 ,36403.319 
80024,16.000 ,0.000 ,0.001 ,1957.116 
5909,36.000 ,0.000 ,0.002 ,193253.475 
6792,24.000 ,0.000 ,0.001 ,73668.333 
22588,78.000 ,0.000 ,0.004 ,260275.796 
25442,36.000 ,0.000 ,0.002 ,80358.805 
30952,64.000 ,0.000 ,0.005 ,115561.095 
37114,14.000 ,0.000 ,0.001 ,6943.280 
55711,26.000 ,0.000 ,0.001 ,35594.479 
59562,28.000 ,0.000 ,0.002 ,63716.510 
67091,14.000 ,0.000 ,0.000 ,3602.880 
71897,44.000 ,0.000 ,0.003 ,125747.542 
72211,50.000 ,0.000 ,0.005 ,222798.496 
84206,46.000 ,0.000 ,0.003 ,115110.061 
84870,8.000 ,0.000 ,0.000 ,1510.096 
85733,58.000 ,0.000 ,0.011 ,22603.523 
87632,26.000 ,0.000 ,0.009 ,28983.599 
185,10.000 ,0.000 ,0.000 ,0.000 
1072,12.000 ,0.000 ,0.000 ,29361.596 
4593,22.000 ,0.000 ,0.001 ,10895.469 
5145,32.000 ,0.000 ,0.009 ,118064.888 
7456,16.000 ,0.000 ,0.004 ,74324.123 
13401,24.000 ,0.000 ,0.002 ,64218.339 
14402,52.000 ,0.000 ,0.002 ,152156.723 
14739,8.000 ,0.000 ,0.000 ,644.820 
16696,8.000 ,0.000 ,0.000 ,67200.000 
17387,28.000 ,0.000 ,0.001 ,49343.973 
20992,38.000 ,0.000 ,0.002 ,157176.961 
25481,46.000 ,0.000 ,0.002 ,301809.760 
30244,4.000 ,0.000 ,0.000 ,0.000 
32449,6.000 ,0.000 ,0.000 ,537.565 
38291,22.000 ,0.000 ,0.001 ,64563.106 
45317,60.000 ,0.000 ,0.003 ,290179.879 
45331,22.000 ,0.000 ,0.001 ,41418.059 
71532,32.000 ,0.000 ,0.003 ,79650.589 
78636,36.000 ,0.000 ,0.002 ,57363.914 
80733,78.000 ,0.000 ,0.003 ,473139.750 
81320,2.000 ,0.000 ,0.000 ,0.000 
48210,10.000 ,0.000 ,0.000 ,4226.329 
75588,38.000 ,0.000 ,0.001 ,110917.031 
28659,6.000 ,0.000 ,0.000 ,0.000 
22797,10.000 ,0.000 ,0.000 ,16464.326 
34837,6.000 ,0.000 ,0.000 ,0.000 
43338,20.000 ,0.000 ,0.001 ,82621.005 
328,4.000 ,0.000 ,0.000 ,0.000 
