Id,Name,degree,pageranks,eigencentrality,betweenesscentrality
0,17010,50.000 ,0.000 ,0.007 ,109018.023 
1,1943,20.000 ,0.000 ,0.001 ,70233.970 
2,2489,60.000 ,0.000 ,0.005 ,95256.758 
3,3426,4.000 ,0.000 ,0.000 ,0.000 
4,4049,36.000 ,0.000 ,0.002 ,126402.558 
5,16961,62.000 ,0.000 ,0.007 ,163630.302 
6,17897,6.000 ,0.000 ,0.000 ,28.771 
7,26904,24.000 ,0.000 ,0.002 ,10329.260 
8,27801,236.000 ,0.000 ,0.044 ,242757.189 
9,32403,28.000 ,0.000 ,0.001 ,100415.823 
10,35262,502.000 ,0.000 ,0.850 ,201942.791 
11,40848,6.000 ,0.000 ,0.001 ,0.000 
12,44114,34.000 ,0.000 ,0.005 ,130824.758 
13,45648,60.000 ,0.000 ,0.002 ,395855.056 
14,45654,14.000 ,0.000 ,0.000 ,11535.450 
15,47702,4.000 ,0.000 ,0.000 ,0.000 
16,49335,172.000 ,0.000 ,0.090 ,168864.623 
17,55416,44.000 ,0.000 ,0.006 ,80871.036 
18,56358,258.000 ,0.000 ,0.044 ,546967.392 
19,64003,40.000 ,0.000 ,0.005 ,99731.234 
20,64714,74.000 ,0.000 ,0.004 ,439607.285 
21,66411,128.000 ,0.000 ,0.017 ,1096025.420 
22,71844,40.000 ,0.000 ,0.010 ,27686.097 
23,72504,30.000 ,0.000 ,0.005 ,17516.857 
24,79185,138.000 ,0.000 ,0.021 ,440942.157 
25,84491,298.000 ,0.000 ,0.145 ,594917.899 
26,5874,4.000 ,0.000 ,0.000 ,0.000 
27,14789,46.000 ,0.000 ,0.006 ,154879.562 
28,33245,12.000 ,0.000 ,0.000 ,8931.147 
29,34338,4.000 ,0.000 ,0.000 ,0.000 
30,35425,42.000 ,0.000 ,0.001 ,122138.186 
31,45957,16.000 ,0.000 ,0.001 ,13979.852 
32,50498,78.000 ,0.000 ,0.002 ,367721.659 
33,64959,114.000 ,0.000 ,0.028 ,377085.710 
34,71391,28.000 ,0.000 ,0.001 ,122775.724 
35,73805,18.000 ,0.000 ,0.001 ,15848.193 
36,9497,136.000 ,0.000 ,0.038 ,1479586.714 
37,54775,14.000 ,0.000 ,0.000 ,5575.371 
38,55543,14.000 ,0.000 ,0.000 ,25420.427 
39,60793,100.000 ,0.000 ,0.013 ,188670.157 
40,69509,8.000 ,0.000 ,0.000 ,1703.748 
41,74685,48.000 ,0.000 ,0.003 ,230702.887 
42,1813,224.000 ,0.000 ,0.032 ,445322.593 
43,8545,6.000 ,0.000 ,0.000 ,1245.756 
44,21182,18.000 ,0.000 ,0.000 ,31859.936 
45,23161,6.000 ,0.000 ,0.000 ,0.000 
46,23931,36.000 ,0.000 ,0.001 ,81414.423 
47,24948,10.000 ,0.000 ,0.000 ,43246.270 
48,27133,12.000 ,0.000 ,0.000 ,713.276 
49,35673,24.000 ,0.000 ,0.001 ,59739.036 
50,35715,50.000 ,0.000 ,0.002 ,163451.607 
51,37376,14.000 ,0.000 ,0.000 ,32972.377 
52,39533,30.000 ,0.000 ,0.001 ,50165.609 
53,39731,66.000 ,0.000 ,0.003 ,283688.538 
54,51356,4.000 ,0.000 ,0.000 ,0.000 
55,53647,16.000 ,0.000 ,0.000 ,24686.588 
56,63397,8.000 ,0.000 ,0.000 ,9425.489 
57,63448,6.000 ,0.000 ,0.000 ,0.000 
58,69438,24.000 ,0.000 ,0.001 ,37946.200 
59,72546,6.000 ,0.000 ,0.000 ,0.000 
60,75605,26.000 ,0.000 ,0.001 ,55189.536 
61,77229,14.000 ,0.000 ,0.000 ,25590.043 
62,78028,20.000 ,0.000 ,0.001 ,47354.409 
63,79437,46.000 ,0.000 ,0.002 ,150964.293 
64,80388,6.000 ,0.000 ,0.000 ,0.000 
65,83411,30.000 ,0.000 ,0.001 ,124655.462 
66,87258,38.000 ,0.000 ,0.002 ,336865.476 
67,10199,118.000 ,0.000 ,0.012 ,664012.543 
68,509,2.000 ,0.000 ,0.000 ,0.000 
69,616,8.000 ,0.000 ,0.000 ,7089.978 
70,1039,18.000 ,0.000 ,0.001 ,48337.823 
71,2885,214.000 ,0.000 ,0.043 ,244216.507 
72,3959,16.000 ,0.000 ,0.002 ,7511.654 
73,13649,16.000 ,0.000 ,0.006 ,3358.956 
74,13734,64.000 ,0.000 ,0.006 ,432348.889 
75,14271,6.000 ,0.000 ,0.000 ,0.000 
76,16341,8.000 ,0.000 ,0.001 ,6298.607 
77,17442,2.000 ,0.000 ,0.000 ,0.000 
78,20269,654.000 ,0.001 ,0.908 ,635390.436 
79,21627,16.000 ,0.000 ,0.001 ,2922.662 
80,21762,6.000 ,0.000 ,0.000 ,0.000 
81,22647,52.000 ,0.000 ,0.013 ,289976.057 
82,22972,14.000 ,0.000 ,0.001 ,13080.482 
83,25791,564.000 ,0.000 ,0.858 ,688710.215 
84,27559,18.000 ,0.000 ,0.001 ,41067.477 
85,29294,30.000 ,0.000 ,0.001 ,65451.955 
86,30674,24.000 ,0.000 ,0.001 ,72456.517 
87,32842,38.000 ,0.000 ,0.002 ,119122.249 
88,35819,12.000 ,0.000 ,0.000 ,0.000 
89,39157,12.000 ,0.000 ,0.000 ,0.000 
90,40046,26.000 ,0.000 ,0.012 ,12908.799 
91,42614,12.000 ,0.000 ,0.004 ,33524.746 
92,43649,16.000 ,0.000 ,0.001 ,22684.103 
93,46432,88.000 ,0.000 ,0.024 ,303993.826 
94,47151,4.000 ,0.000 ,0.000 ,0.000 
95,47155,4.000 ,0.000 ,0.000 ,0.000 
96,47194,44.000 ,0.000 ,0.003 ,112966.610 
97,47721,10.000 ,0.000 ,0.000 ,1516.443 
98,47739,14.000 ,0.000 ,0.004 ,41605.232 
99,48145,12.000 ,0.000 ,0.000 ,7298.173 
100,48203,34.000 ,0.000 ,0.005 ,10807.659 
101,48961,2.000 ,0.000 ,0.000 ,0.000 
102,49342,8.000 ,0.000 ,0.000 ,0.000 
103,49811,172.000 ,0.000 ,0.026 ,253609.995 
104,51402,4.000 ,0.000 ,0.000 ,0.000 
