Id,Name,degree,pageranks,eigencentrality,betweenesscentrality
0,24325,3,0.000 ,0.032 ,621.148 
1,24394,42,0.001 ,0.313 ,582307.860 
2,40517,49,0.001 ,0.301 ,294041.246 
3,58507,6,0.000 ,0.045 ,9904.708 
4,3737,22,0.000 ,0.198 ,26537.374 
5,3905,1,0.000 ,0.015 ,0.000 
6,7237,4,0.000 ,0.027 ,8636.000 
7,12715,13,0.000 ,0.096 ,22344.188 
8,13648,50,0.001 ,0.352 ,493512.125 
9,13659,9,0.000 ,0.073 ,29914.919 
10,13664,10,0.000 ,0.055 ,47881.230 
11,14304,6,0.000 ,0.043 ,9275.484 
12,14823,26,0.000 ,0.130 ,212101.301 
13,17370,40,0.001 ,0.175 ,453233.294 
14,18956,34,0.000 ,0.246 ,173426.620 
15,19615,60,0.001 ,0.359 ,1037806.921 
16,19660,30,0.000 ,0.198 ,108045.902 
17,21669,31,0.000 ,0.259 ,201253.647 
18,23106,15,0.000 ,0.078 ,51900.754 
19,24832,4,0.000 ,0.036 ,280.793 
20,26021,19,0.000 ,0.122 ,67999.506 
21,26363,9,0.000 ,0.035 ,105408.818 
22,28240,19,0.000 ,0.120 ,54485.676 
23,35376,3,0.000 ,0.019 ,10516.943 
24,35424,36,0.000 ,0.259 ,245685.299 
25,36383,33,0.001 ,0.089 ,488837.439 
26,36860,41,0.001 ,0.330 ,236612.940 
27,37616,24,0.000 ,0.091 ,341507.285 
28,37932,20,0.000 ,0.138 ,120469.584 
29,39984,9,0.000 ,0.060 ,43629.548 
30,41687,37,0.001 ,0.220 ,369076.825 
31,44934,36,0.000 ,0.273 ,209733.824 
32,48192,43,0.001 ,0.302 ,233373.716 
33,51464,14,0.000 ,0.091 ,86779.276 
34,55079,18,0.000 ,0.084 ,80956.953 
35,59077,53,0.001 ,0.400 ,359244.339 
36,59471,38,0.001 ,0.253 ,149577.166 
37,59870,10,0.000 ,0.046 ,52474.208 
38,61742,50,0.001 ,0.328 ,415960.566 
39,61796,18,0.000 ,0.102 ,51621.508 
40,62227,45,0.001 ,0.278 ,672630.267 
41,65346,2,0.000 ,0.016 ,69032.000 
42,66689,19,0.000 ,0.107 ,173240.620 
43,67851,17,0.000 ,0.036 ,160600.204 
44,24897,2,0.000 ,0.007 ,2046.153 
45,30545,23,0.000 ,0.044 ,222742.951 
46,42653,12,0.000 ,0.058 ,35094.672 
47,1182,2,0.000 ,0.006 ,0.000 
48,3175,14,0.000 ,0.035 ,47480.576 
49,5379,22,0.000 ,0.143 ,41743.092 
50,33426,23,0.000 ,0.067 ,188716.149 
51,34071,26,0.000 ,0.171 ,87880.092 
52,36192,7,0.000 ,0.017 ,24158.085 
53,39688,7,0.000 ,0.050 ,22586.364 
54,63113,59,0.001 ,0.407 ,434011.117 
55,65086,25,0.000 ,0.122 ,167208.385 
56,66829,2,0.000 ,0.005 ,2222.064 
57,68041,16,0.000 ,0.054 ,64927.945 
58,554,33,0.000 ,0.253 ,146642.151 
59,3088,27,0.000 ,0.134 ,161660.401 
60,4503,11,0.000 ,0.107 ,9328.695 
61,4521,11,0.000 ,0.107 ,9328.695 
62,6142,42,0.001 ,0.200 ,471737.537 
63,9117,5,0.000 ,0.052 ,377.961 
64,11180,23,0.000 ,0.121 ,60124.927 
65,12981,15,0.000 ,0.119 ,28337.817 
66,13769,4,0.000 ,0.037 ,326.437 
67,20394,46,0.001 ,0.246 ,435555.823 
68,21477,13,0.000 ,0.078 ,24747.824 
69,22916,13,0.000 ,0.069 ,100675.388 
70,24295,24,0.000 ,0.176 ,162900.556 
71,28268,11,0.000 ,0.044 ,226020.725 
72,33726,5,0.000 ,0.029 ,5410.667 
73,40894,32,0.000 ,0.249 ,47106.008 
74,44594,8,0.000 ,0.028 ,12948.424 
75,45385,37,0.000 ,0.222 ,211602.934 
76,46139,42,0.001 ,0.200 ,332718.537 
77,49541,25,0.000 ,0.180 ,38807.593 
78,50970,6,0.000 ,0.043 ,783.857 
79,53159,18,0.000 ,0.068 ,136395.604 
80,55835,25,0.000 ,0.237 ,21778.449 
81,56948,18,0.000 ,0.106 ,137066.549 
82,57628,2,0.000 ,0.029 ,0.000 
83,60251,8,0.000 ,0.054 ,2916.241 
84,60797,18,0.000 ,0.087 ,61970.678 
85,67012,11,0.000 ,0.097 ,6700.052 
86,1441,65,0.001 ,0.163 ,814129.476 
87,3306,22,0.000 ,0.146 ,173939.879 
88,15089,7,0.000 ,0.021 ,44476.195 
89,22990,14,0.000 ,0.026 ,84275.286 
90,25318,5,0.000 ,0.014 ,0.000 
91,25406,2,0.000 ,0.005 ,1502.996 
92,25750,15,0.000 ,0.033 ,24405.735 
93,25902,14,0.000 ,0.040 ,78842.667 
94,28406,22,0.000 ,0.046 ,47695.336 
95,28440,1,0.000 ,0.004 ,0.000 
96,29941,3,0.000 ,0.005 ,10094.166 
97,33454,25,0.000 ,0.134 ,66007.161 
98,39659,18,0.000 ,0.091 ,67411.379 
99,40187,7,0.000 ,0.019 ,1430.016 
100,42018,9,0.000 ,0.028 ,45181.509 
101,59205,9,0.000 ,0.018 ,23845.083 
102,1444,4,0.000 ,0.008 ,6.417 
103,4189,1,0.000 ,0.004 ,0.000 
104,5338,20,0.000 ,0.033 ,227749.844 
105,12698,1,0.000 ,0.004 ,0.000 
106,14425,5,0.000 ,0.007 ,28282.384 
107,15946,19,0.000 ,0.051 ,167445.372 
108,19172,4,0.000 ,0.007 ,163.788 
109,22014,7,0.000 ,0.021 ,37173.308 
110,29017,12,0.000 ,0.026 ,53075.048 
111,30982,7,0.000 ,0.022 ,1289.780 
112,34121,15,0.000 ,0.032 ,30591.559 
113,35725,17,0.000 ,0.068 ,133097.504 
114,35863,10,0.000 ,0.024 ,30138.593 
115,40691,5,0.000 ,0.013 ,3387.490 
116,41588,25,0.000 ,0.047 ,193971.125 
117,45556,11,0.000 ,0.026 ,64778.179 
118,52121,4,0.000 ,0.011 ,8636.000 
119,52622,24,0.000 ,0.046 ,108496.094 
120,56995,7,0.000 ,0.024 ,38413.240 
121,57145,4,0.000 ,0.009 ,9088.441 
122,3029,6,0.000 ,0.011 ,7202.594 
123,39076,1,0.000 ,0.001 ,0.000 
124,57738,26,0.000 ,0.130 ,61945.406 
125,2394,11,0.000 ,0.056 ,22999.888 
126,2470,2,0.000 ,0.011 ,0.000 
127,6975,23,0.000 ,0.130 ,125888.674 
128,17554,8,0.000 ,0.037 ,39412.138 
129,17702,2,0.000 ,0.010 ,0.000 
130,18533,22,0.000 ,0.116 ,37165.160 
131,20532,10,0.000 ,0.060 ,4514.310 
132,22552,36,0.000 ,0.220 ,136765.939 
133,27926,13,0.000 ,0.068 ,18001.533 
134,29761,6,0.000 ,0.025 ,1030.980 
135,33137,2,0.000 ,0.018 ,0.000 
136,34596,13,0.000 ,0.067 ,28671.911 
137,35059,5,0.000 ,0.030 ,252.698 
138,35280,29,0.000 ,0.132 ,88397.946 
139,47226,6,0.000 ,0.030 ,15007.214 
140,54118,6,0.000 ,0.033 ,912.007 
141,60926,42,0.001 ,0.222 ,276935.962 
142,61918,10,0.000 ,0.022 ,23553.603 
143,65338,10,0.000 ,0.040 ,30743.072 
144,66820,29,0.000 ,0.155 ,96583.599 
145,66821,4,0.000 ,0.031 ,0.000 
146,67820,7,0.000 ,0.042 ,46874.430 
147,4070,13,0.000 ,0.049 ,110255.900 
148,17141,17,0.000 ,0.052 ,142994.083 
149,25442,8,0.000 ,0.035 ,29160.166 
150,30291,24,0.000 ,0.144 ,70894.869 
151,37380,2,0.000 ,0.019 ,0.000 
152,46598,7,0.000 ,0.051 ,22514.155 
153,51911,3,0.000 ,0.011 ,1222.827 
154,53676,15,0.000 ,0.055 ,50425.527 
155,54556,19,0.000 ,0.119 ,188138.385 
156,57682,3,0.000 ,0.032 ,0.000 
