Id,degree,pageranks,eigencentrality,betweenesscentrality
24325,3,0.000 ,0.032 ,621.148 
24394,42,0.001 ,0.313 ,582307.860 
40517,49,0.001 ,0.301 ,294041.246 
58507,6,0.000 ,0.045 ,9904.708 
3737,22,0.000 ,0.198 ,26537.374 
3905,1,0.000 ,0.015 ,0.000 
7237,4,0.000 ,0.027 ,8636.000 
12715,13,0.000 ,0.096 ,22344.188 
13648,50,0.001 ,0.352 ,493512.125 
13659,9,0.000 ,0.073 ,29914.919 
13664,10,0.000 ,0.055 ,47881.230 
14304,6,0.000 ,0.043 ,9275.484 
14823,26,0.000 ,0.130 ,212101.301 
17370,40,0.001 ,0.175 ,453233.294 
18956,34,0.000 ,0.246 ,173426.620 
19615,60,0.001 ,0.359 ,1037806.921 
19660,30,0.000 ,0.198 ,108045.902 
21669,31,0.000 ,0.259 ,201253.647 
23106,15,0.000 ,0.078 ,51900.754 
24832,4,0.000 ,0.036 ,280.793 
26021,19,0.000 ,0.122 ,67999.506 
26363,9,0.000 ,0.035 ,105408.818 
28240,19,0.000 ,0.120 ,54485.676 
35376,3,0.000 ,0.019 ,10516.943 
35424,36,0.000 ,0.259 ,245685.299 
36383,33,0.001 ,0.089 ,488837.439 
36860,41,0.001 ,0.330 ,236612.940 
37616,24,0.000 ,0.091 ,341507.285 
37932,20,0.000 ,0.138 ,120469.584 
39984,9,0.000 ,0.060 ,43629.548 
41687,37,0.001 ,0.220 ,369076.825 
44934,36,0.000 ,0.273 ,209733.824 
48192,43,0.001 ,0.302 ,233373.716 
51464,14,0.000 ,0.091 ,86779.276 
55079,18,0.000 ,0.084 ,80956.953 
59077,53,0.001 ,0.400 ,359244.339 
59471,38,0.001 ,0.253 ,149577.166 
59870,10,0.000 ,0.046 ,52474.208 
61742,50,0.001 ,0.328 ,415960.566 
61796,18,0.000 ,0.102 ,51621.508 
62227,45,0.001 ,0.278 ,672630.267 
65346,2,0.000 ,0.016 ,69032.000 
66689,19,0.000 ,0.107 ,173240.620 
67851,17,0.000 ,0.036 ,160600.204 
24897,2,0.000 ,0.007 ,2046.153 
30545,23,0.000 ,0.044 ,222742.951 
42653,12,0.000 ,0.058 ,35094.672 
1182,2,0.000 ,0.006 ,0.000 
3175,14,0.000 ,0.035 ,47480.576 
5379,22,0.000 ,0.143 ,41743.092 
33426,23,0.000 ,0.067 ,188716.149 
34071,26,0.000 ,0.171 ,87880.092 
