Id,degree,betweenesscentrality,eigencentrality,pageranks
1,35,11577.929 ,0.158 ,0.002 
2,5,1965.425 ,0.043 ,0.000 
3,178,73757.375 ,0.777 ,0.006 
4,16,2366.758 ,0.083 ,0.001 
5,207,93651.106 ,0.961 ,0.007 
6,89,26890.152 ,0.400 ,0.003 
7,177,79259.708 ,0.689 ,0.007 
8,73,26544.263 ,0.363 ,0.003 
9,49,7788.489 ,0.315 ,0.002 
10,5,141.196 ,0.037 ,0.000 
11,31,2851.849 ,0.216 ,0.001 
12,20,3113.442 ,0.182 ,0.001 
13,10,163.592 ,0.065 ,0.000 
14,1,0.000 ,0.003 ,0.000 
15,13,539.944 ,0.072 ,0.000 
16,30,5731.777 ,0.147 ,0.001 
17,1,0.000 ,0.003 ,0.000 
18,43,4676.386 ,0.264 ,0.001 
19,56,9901.101 ,0.304 ,0.002 
20,13,375.968 ,0.081 ,0.000 
21,104,25299.204 ,0.492 ,0.003 
22,1,0.000 ,0.003 ,0.000 
23,8,886.220 ,0.060 ,0.000 
24,66,11642.629 ,0.357 ,0.002 
25,11,367.314 ,0.038 ,0.000 
26,18,1851.022 ,0.097 ,0.001 
27,7,70.011 ,0.035 ,0.000 
28,29,2876.548 ,0.210 ,0.001 
29,22,4924.532 ,0.094 ,0.001 
30,6,67.482 ,0.036 ,0.000 
31,15,460.547 ,0.126 ,0.001 
32,14,590.837 ,0.092 ,0.001 
33,1,0.000 ,0.003 ,0.000 
34,1,0.000 ,0.003 ,0.000 
35,1,0.000 ,0.016 ,0.000 
36,241,116384.906 ,0.916 ,0.009 
37,22,1823.099 ,0.138 ,0.001 
38,51,9442.742 ,0.269 ,0.002 
39,183,60565.785 ,0.739 ,0.006 
40,53,6039.551 ,0.226 ,0.002 
41,28,2324.100 ,0.204 ,0.001 
42,22,622.909 ,0.160 ,0.001 
43,56,5634.685 ,0.309 ,0.002 
44,40,1880.839 ,0.281 ,0.001 
45,77,18127.942 ,0.466 ,0.002 
46,13,149.746 ,0.079 ,0.000 
47,22,1312.540 ,0.139 ,0.001 
48,34,5244.664 ,0.283 ,0.001 
49,17,1034.045 ,0.109 ,0.001 
50,227,106608.135 ,0.998 ,0.008 
51,91,34440.882 ,0.433 ,0.003 
52,21,665.902 ,0.166 ,0.001 
53,36,9183.613 ,0.223 ,0.001 
54,15,341.824 ,0.167 ,0.000 
55,121,35424.511 ,0.535 ,0.004 
56,10,244.031 ,0.092 ,0.000 
57,15,772.752 ,0.135 ,0.001 
58,160,42726.712 ,0.736 ,0.005 
59,66,10890.642 ,0.319 ,0.002 
60,23,3651.331 ,0.125 ,0.001 
61,35,3837.748 ,0.207 ,0.001 
62,34,3386.095 ,0.201 ,0.001 
63,44,4019.380 ,0.301 ,0.001 
64,5,231.390 ,0.050 ,0.000 
65,172,55477.048 ,0.786 ,0.005 
66,55,7995.968 ,0.349 ,0.002 
67,23,2792.285 ,0.111 ,0.001 
68,41,6323.636 ,0.274 ,0.001 
69,19,534.905 ,0.127 ,0.001 
70,27,2823.476 ,0.209 ,0.001 
71,106,21252.969 ,0.562 ,0.003 
72,60,7784.490 ,0.364 ,0.002 
73,12,254.255 ,0.079 ,0.000 
74,18,2416.064 ,0.100 ,0.001 
75,42,6199.395 ,0.229 ,0.001 
76,28,3121.017 ,0.234 ,0.001 
77,146,27673.008 ,0.735 ,0.004 
78,6,54.424 ,0.059 ,0.000 
79,6,51.340 ,0.060 ,0.000 
80,36,2538.521 ,0.218 ,0.001 
81,15,464.363 ,0.081 ,0.001 
82,38,5436.327 ,0.210 ,0.001 
83,88,15806.799 ,0.509 ,0.003 
84,77,9894.650 ,0.544 ,0.002 
85,11,135.549 ,0.111 ,0.000 
86,7,75.738 ,0.060 ,0.000 
87,66,6351.266 ,0.393 ,0.002 
88,55,9605.437 ,0.352 ,0.002 
89,23,2632.715 ,0.166 ,0.001 
90,61,5027.801 ,0.324 ,0.002 
91,21,772.886 ,0.097 ,0.001 
92,63,6587.846 ,0.286 ,0.002 
93,36,3455.383 ,0.236 ,0.001 
94,19,3573.818 ,0.084 ,0.001 
95,46,2176.222 ,0.240 ,0.001 
96,5,45.709 ,0.046 ,0.000 
97,3,4.040 ,0.033 ,0.000 
98,62,9918.457 ,0.328 ,0.002 
99,1,0.000 ,0.016 ,0.000 
100,38,5450.264 ,0.291 ,0.001 
101,8,34.091 ,0.071 ,0.000 
102,23,2691.317 ,0.160 ,0.001 
103,49,3924.761 ,0.288 ,0.001 
104,71,10216.732 ,0.402 ,0.002 
105,86,23654.222 ,0.448 ,0.003 
106,17,580.189 ,0.139 ,0.001 
107,53,5362.433 ,0.329 ,0.002 
108,48,9101.390 ,0.325 ,0.002 
109,6,95.505 ,0.059 ,0.000 
110,10,2103.903 ,0.070 ,0.000 
111,18,381.750 ,0.137 ,0.001 
112,20,994.060 ,0.100 ,0.001 
113,16,510.069 ,0.093 ,0.001 
114,45,4074.392 ,0.201 ,0.001 
115,21,665.594 ,0.114 ,0.001 
116,40,4784.917 ,0.169 ,0.001 
117,11,111.432 ,0.084 ,0.000 
118,6,84.585 ,0.045 ,0.000 
119,23,827.781 ,0.194 ,0.001 
120,20,825.361 ,0.089 ,0.001 
121,29,1727.517 ,0.142 ,0.001 
122,16,3496.437 ,0.113 ,0.001 
123,63,10824.829 ,0.364 ,0.002 
124,14,294.600 ,0.064 ,0.000 
125,93,13676.741 ,0.502 ,0.003 
126,6,90.721 ,0.043 ,0.000 
127,12,150.259 ,0.092 ,0.000 
128,14,2693.079 ,0.071 ,0.001 
129,15,499.015 ,0.118 ,0.000 
130,44,6038.176 ,0.278 ,0.001 
131,13,2023.746 ,0.077 ,0.000 
132,15,349.819 ,0.079 ,0.001 
133,45,4217.890 ,0.287 ,0.001 
134,33,2306.701 ,0.248 ,0.001 
135,10,143.860 ,0.062 ,0.000 
136,69,11008.933 ,0.328 ,0.002 
137,23,1483.097 ,0.153 ,0.001 
138,66,11089.361 ,0.316 ,0.002 
139,6,68.089 ,0.040 ,0.000 
140,25,3773.437 ,0.159 ,0.001 
141,9,384.316 ,0.043 ,0.000 
142,34,9452.397 ,0.165 ,0.001 
143,67,9454.751 ,0.361 ,0.002 
144,18,956.630 ,0.102 ,0.001 
145,99,18423.170 ,0.507 ,0.003 
146,41,5338.785 ,0.253 ,0.001 
147,2,73.544 ,0.016 ,0.000 
148,11,411.165 ,0.113 ,0.000 
149,10,73.136 ,0.077 ,0.000 
150,35,4431.035 ,0.211 ,0.001 
151,15,929.760 ,0.091 ,0.001 
152,4,406.015 ,0.019 ,0.000 
153,9,156.401 ,0.081 ,0.000 
154,12,368.775 ,0.083 ,0.000 
155,117,29580.733 ,0.557 ,0.004 
156,45,5018.152 ,0.272 ,0.001 
157,2,0.000 ,0.030 ,0.000 
158,5,24.915 ,0.041 ,0.000 
159,20,2340.514 ,0.130 ,0.001 
160,13,425.511 ,0.050 ,0.000 
161,21,1680.706 ,0.125 ,0.001 
162,30,4459.242 ,0.224 ,0.001 
163,18,880.893 ,0.129 ,0.001 
164,15,505.744 ,0.109 ,0.001 
165,6,43.062 ,0.045 ,0.000 
166,3,19.949 ,0.033 ,0.000 
167,28,2889.117 ,0.178 ,0.001 
168,10,430.004 ,0.056 ,0.000 
169,9,146.935 ,0.064 ,0.000 
170,8,491.530 ,0.071 ,0.000 
171,3,7.117 ,0.023 ,0.000 
172,15,2257.487 ,0.133 ,0.001 
173,5,38.214 ,0.053 ,0.000 
174,9,485.996 ,0.083 ,0.000 
175,41,4129.740 ,0.214 ,0.001 
176,5,49.118 ,0.055 ,0.000 
177,8,490.578 ,0.052 ,0.000 
178,39,5600.200 ,0.242 ,0.001 
179,1,0.000 ,0.016 ,0.000 
180,2,10.444 ,0.021 ,0.000 
181,6,74.778 ,0.055 ,0.000 
182,2,23.906 ,0.024 ,0.000 
183,1,0.000 ,0.016 ,0.000 
184,110,21354.921 ,0.473 ,0.003 
185,4,4.744 ,0.034 ,0.000 
186,6,28.672 ,0.041 ,0.000 
187,15,1360.418 ,0.075 ,0.001 
188,1,0.000 ,0.016 ,0.000 
189,1,0.000 ,0.016 ,0.000 
190,2,26.865 ,0.017 ,0.000 
191,1,0.000 ,0.016 ,0.000 
192,4,6.228 ,0.057 ,0.000 
193,1,0.000 ,0.001 ,0.000 
194,65,7372.121 ,0.258 ,0.002 
195,5,35.044 ,0.025 ,0.000 
196,53,3506.463 ,0.280 ,0.002 
197,36,1794.592 ,0.235 ,0.001 
198,30,1549.723 ,0.220 ,0.001 
199,5,188.667 ,0.018 ,0.000 
200,43,1854.264 ,0.243 ,0.001 
201,13,268.622 ,0.056 ,0.000 
202,83,12618.673 ,0.402 ,0.002 
203,21,760.535 ,0.136 ,0.001 
204,31,3560.679 ,0.228 ,0.001 
205,89,14322.405 ,0.463 ,0.003 
206,23,949.323 ,0.105 ,0.001 
207,37,4602.634 ,0.247 ,0.001 
208,22,996.305 ,0.145 ,0.001 
209,29,1161.186 ,0.249 ,0.001 
210,10,263.940 ,0.072 ,0.000 
211,17,2116.722 ,0.111 ,0.001 
212,36,1166.447 ,0.227 ,0.001 
213,27,1200.945 ,0.185 ,0.001 
214,8,90.118 ,0.083 ,0.000 
215,51,3050.086 ,0.344 ,0.001 
216,55,4686.830 ,0.319 ,0.002 
217,8,66.476 ,0.071 ,0.000 
218,32,1441.281 ,0.164 ,0.001 
219,9,206.511 ,0.110 ,0.000 
220,4,16.528 ,0.015 ,0.000 
221,4,39.012 ,0.030 ,0.000 
222,8,124.737 ,0.038 ,0.000 
223,20,3064.970 ,0.167 ,0.001 
224,16,1300.874 ,0.117 ,0.001 
225,47,4675.854 ,0.279 ,0.001 
226,35,2366.760 ,0.215 ,0.001 
227,32,2358.498 ,0.220 ,0.001 
228,51,4784.458 ,0.350 ,0.001 
229,2,2.333 ,0.013 ,0.000 
230,2,2.710 ,0.008 ,0.000 
231,10,96.451 ,0.058 ,0.000 
232,64,11140.699 ,0.388 ,0.002 
233,110,36597.757 ,0.352 ,0.004 
234,2,2.604 ,0.017 ,0.000 
235,10,2007.952 ,0.061 ,0.000 
236,63,8724.748 ,0.376 ,0.002 
237,79,6141.812 ,0.464 ,0.002 
238,24,1747.215 ,0.119 ,0.001 
239,5,12.254 ,0.033 ,0.000 
240,7,30.989 ,0.036 ,0.000 
241,24,863.220 ,0.211 ,0.001 
242,35,1318.706 ,0.212 ,0.001 
243,12,137.559 ,0.091 ,0.000 
244,83,10182.453 ,0.460 ,0.002 
245,17,420.122 ,0.096 ,0.001 
246,46,3418.943 ,0.271 ,0.001 
247,35,3690.592 ,0.128 ,0.001 
248,11,201.349 ,0.097 ,0.000 
249,17,2184.982 ,0.079 ,0.001 
250,31,3146.738 ,0.153 ,0.001 
251,2,10.555 ,0.009 ,0.000 
252,2,1891.000 ,0.019 ,0.000 
253,3,34.655 ,0.051 ,0.000 
254,142,33244.290 ,0.686 ,0.004 
255,3,47.964 ,0.042 ,0.000 
256,4,77.233 ,0.059 ,0.000 
257,1,0.000 ,0.019 ,0.000 
258,2,0.000 ,0.034 ,0.000 
259,2,24.432 ,0.027 ,0.000 
260,7,3715.826 ,0.074 ,0.000 
261,3,106.698 ,0.027 ,0.000 
262,1,0.000 ,0.019 ,0.000 
263,57,4221.688 ,0.287 ,0.002 
