Id,degree,pageranks,eigencentrality,betweenesscentrality
30,28,0.000 ,0.027 ,2976.990 
1412,29,0.001 ,0.023 ,0.000 
3352,537,0.002 ,0.744 ,219229.206 
5254,298,0.002 ,0.667 ,77332.573 
5543,282,0.001 ,0.394 ,111404.299 
7478,92,0.001 ,0.238 ,0.000 
3,54,0.000 ,0.019 ,3535.666 
28,255,0.002 ,0.086 ,230946.611 
39,69,0.000 ,0.025 ,25637.585 
54,47,0.000 ,0.043 ,5359.287 
108,13,0.000 ,0.004 ,52.681 
152,72,0.001 ,0.065 ,18621.204 
178,98,0.000 ,0.030 ,22475.347 
182,111,0.000 ,0.027 ,20987.979 
214,175,0.002 ,0.291 ,0.000 
271,192,0.001 ,0.184 ,0.000 
286,19,0.000 ,0.016 ,0.000 
300,22,0.000 ,0.016 ,0.000 
348,56,0.000 ,0.023 ,6162.146 
349,16,0.000 ,0.008 ,19.695 
371,141,0.000 ,0.020 ,27128.160 
567,28,0.000 ,0.022 ,9652.945 
581,12,0.000 ,0.008 ,0.000 
584,19,0.000 ,0.018 ,722.335 
586,23,0.000 ,0.016 ,912.240 
590,40,0.000 ,0.030 ,1762.131 
604,21,0.000 ,0.010 ,2906.926 
611,25,0.000 ,0.020 ,0.000 
8283,10,0.000 ,0.010 ,0.000 
25,90,0.000 ,0.000 ,0.000 
6,322,0.000 ,0.018 ,79581.194 
8,226,0.000 ,0.046 ,200139.811 
19,61,0.000 ,0.013 ,3432.432 
23,96,0.000 ,0.032 ,39343.205 
29,191,0.000 ,0.036 ,43745.064 
33,58,0.000 ,0.041 ,21338.449 
35,175,0.001 ,0.162 ,73566.117 
50,46,0.000 ,0.029 ,16539.555 
55,131,0.001 ,0.052 ,85094.832 
75,100,0.000 ,0.033 ,26778.984 
80,102,0.000 ,0.021 ,15545.634 
86,230,0.001 ,0.085 ,90384.188 
94,107,0.000 ,0.016 ,16591.125 
127,151,0.000 ,0.013 ,17769.377 
154,79,0.000 ,0.012 ,8001.562 
192,46,0.000 ,0.019 ,8506.492 
224,31,0.000 ,0.012 ,531.249 
226,46,0.000 ,0.030 ,8131.084 
246,24,0.000 ,0.033 ,3921.763 
252,38,0.000 ,0.022 ,0.000 
255,112,0.000 ,0.019 ,15240.860 
257,33,0.000 ,0.014 ,3057.854 
261,32,0.000 ,0.028 ,3742.285 
273,20,0.000 ,0.010 ,454.167 
280,98,0.000 ,0.019 ,13387.957 
282,140,0.001 ,0.070 ,51077.255 
299,158,0.001 ,0.161 ,0.000 
302,37,0.000 ,0.013 ,3614.985 
306,266,0.000 ,0.013 ,19108.819 
308,183,0.000 ,0.043 ,20118.564 
310,273,0.000 ,0.029 ,50280.109 
322,43,0.000 ,0.036 ,0.000 
325,70,0.000 ,0.034 ,8578.178 
339,100,0.000 ,0.012 ,10055.026 
356,61,0.000 ,0.038 ,12979.135 
358,12,0.000 ,0.006 ,0.000 
363,21,0.000 ,0.008 ,6057.910 
370,45,0.000 ,0.035 ,0.000 
373,20,0.000 ,0.016 ,0.000 
377,28,0.000 ,0.014 ,0.000 
379,21,0.000 ,0.014 ,0.000 
407,280,0.001 ,0.170 ,110548.297 
415,70,0.000 ,0.122 ,5446.985 
422,16,0.000 ,0.025 ,0.000 
428,22,0.000 ,0.019 ,0.000 
439,78,0.000 ,0.085 ,3940.055 
488,26,0.000 ,0.020 ,122.898 
514,20,0.000 ,0.028 ,0.000 
545,73,0.000 ,0.068 ,12443.684 
549,66,0.001 ,0.052 ,11339.278 
560,48,0.000 ,0.038 ,14338.212 
592,29,0.000 ,0.018 ,5606.244 
600,291,0.001 ,0.099 ,157379.305 
645,24,0.000 ,0.006 ,461.067 
650,112,0.000 ,0.006 ,2909.779 
659,58,0.000 ,0.064 ,7203.218 
664,39,0.000 ,0.017 ,3937.933 
667,54,0.000 ,0.052 ,12312.918 
673,47,0.000 ,0.034 ,4641.912 
675,26,0.000 ,0.019 ,251.304 
696,39,0.000 ,0.043 ,4462.938 
706,119,0.000 ,0.016 ,6356.789 
723,26,0.000 ,0.027 ,23.130 
739,60,0.000 ,0.069 ,0.000 
756,64,0.001 ,0.068 ,0.000 
