Id,Name,degree,pageranks,eigencentrality,betweenesscentrality
0,30,28,0.000 ,0.027 ,2976.990 
1,1412,29,0.001 ,0.023 ,0.000 
2,3352,537,0.002 ,0.744 ,219229.206 
3,5254,298,0.002 ,0.667 ,77332.573 
4,5543,282,0.001 ,0.394 ,111404.299 
5,7478,92,0.001 ,0.238 ,0.000 
6,3,54,0.000 ,0.019 ,3535.666 
7,28,255,0.002 ,0.086 ,230946.611 
8,39,69,0.000 ,0.025 ,25637.585 
9,54,47,0.000 ,0.043 ,5359.287 
10,108,13,0.000 ,0.004 ,52.681 
11,152,72,0.001 ,0.065 ,18621.204 
12,178,98,0.000 ,0.030 ,22475.347 
13,182,111,0.000 ,0.027 ,20987.979 
14,214,175,0.002 ,0.291 ,0.000 
15,271,192,0.001 ,0.184 ,0.000 
16,286,19,0.000 ,0.016 ,0.000 
17,300,22,0.000 ,0.016 ,0.000 
18,348,56,0.000 ,0.023 ,6162.146 
19,349,16,0.000 ,0.008 ,19.695 
20,371,141,0.000 ,0.020 ,27128.160 
21,567,28,0.000 ,0.022 ,9652.945 
22,581,12,0.000 ,0.008 ,0.000 
23,584,19,0.000 ,0.018 ,722.335 
24,586,23,0.000 ,0.016 ,912.240 
25,590,40,0.000 ,0.030 ,1762.131 
26,604,21,0.000 ,0.010 ,2906.926 
27,611,25,0.000 ,0.020 ,0.000 
28,8283,10,0.000 ,0.010 ,0.000 
29,25,90,0.000 ,0.000 ,0.000 
30,6,322,0.000 ,0.018 ,79581.194 
31,8,226,0.000 ,0.046 ,200139.811 
32,19,61,0.000 ,0.013 ,3432.432 
33,23,96,0.000 ,0.032 ,39343.205 
34,29,191,0.000 ,0.036 ,43745.064 
35,33,58,0.000 ,0.041 ,21338.449 
36,35,175,0.001 ,0.162 ,73566.117 
37,50,46,0.000 ,0.029 ,16539.555 
38,55,131,0.001 ,0.052 ,85094.832 
39,75,100,0.000 ,0.033 ,26778.984 
40,80,102,0.000 ,0.021 ,15545.634 
41,86,230,0.001 ,0.085 ,90384.188 
42,94,107,0.000 ,0.016 ,16591.125 
43,127,151,0.000 ,0.013 ,17769.377 
44,154,79,0.000 ,0.012 ,8001.562 
45,192,46,0.000 ,0.019 ,8506.492 
46,224,31,0.000 ,0.012 ,531.249 
47,226,46,0.000 ,0.030 ,8131.084 
48,246,24,0.000 ,0.033 ,3921.763 
49,252,38,0.000 ,0.022 ,0.000 
50,255,112,0.000 ,0.019 ,15240.860 
51,257,33,0.000 ,0.014 ,3057.854 
52,261,32,0.000 ,0.028 ,3742.285 
53,273,20,0.000 ,0.010 ,454.167 
54,280,98,0.000 ,0.019 ,13387.957 
55,282,140,0.001 ,0.070 ,51077.255 
56,299,158,0.001 ,0.161 ,0.000 
57,302,37,0.000 ,0.013 ,3614.985 
58,306,266,0.000 ,0.013 ,19108.819 
59,308,183,0.000 ,0.043 ,20118.564 
60,310,273,0.000 ,0.029 ,50280.109 
61,322,43,0.000 ,0.036 ,0.000 
62,325,70,0.000 ,0.034 ,8578.178 
63,339,100,0.000 ,0.012 ,10055.026 
64,356,61,0.000 ,0.038 ,12979.135 
65,358,12,0.000 ,0.006 ,0.000 
66,363,21,0.000 ,0.008 ,6057.910 
67,370,45,0.000 ,0.035 ,0.000 
68,373,20,0.000 ,0.016 ,0.000 
69,377,28,0.000 ,0.014 ,0.000 
70,379,21,0.000 ,0.014 ,0.000 
71,407,280,0.001 ,0.170 ,110548.297 
72,415,70,0.000 ,0.122 ,5446.985 
73,422,16,0.000 ,0.025 ,0.000 
74,428,22,0.000 ,0.019 ,0.000 
75,439,78,0.000 ,0.085 ,3940.055 
76,488,26,0.000 ,0.020 ,122.898 
77,514,20,0.000 ,0.028 ,0.000 
78,545,73,0.000 ,0.068 ,12443.684 
79,549,66,0.001 ,0.052 ,11339.278 
80,560,48,0.000 ,0.038 ,14338.212 
81,592,29,0.000 ,0.018 ,5606.244 
82,600,291,0.001 ,0.099 ,157379.305 
83,645,24,0.000 ,0.006 ,461.067 
84,650,112,0.000 ,0.006 ,2909.779 
85,659,58,0.000 ,0.064 ,7203.218 
86,664,39,0.000 ,0.017 ,3937.933 
87,667,54,0.000 ,0.052 ,12312.918 
88,673,47,0.000 ,0.034 ,4641.912 
89,675,26,0.000 ,0.019 ,251.304 
90,696,39,0.000 ,0.043 ,4462.938 
91,706,119,0.000 ,0.016 ,6356.789 
92,723,26,0.000 ,0.027 ,23.130 
93,739,60,0.000 ,0.069 ,0.000 
94,756,64,0.001 ,0.068 ,0.000 
95,857,115,0.000 ,0.138 ,0.000 
96,864,20,0.000 ,0.020 ,0.000 
97,893,53,0.000 ,0.062 ,0.000 
98,959,90,0.001 ,0.204 ,8322.185 
99,994,78,0.000 ,0.029 ,6607.574 
100,1131,34,0.000 ,0.040 ,0.000 
101,3755,121,0.001 ,0.303 ,0.000 
102,8282,11,0.000 ,0.007 ,0.000 
103,8284,10,0.000 ,0.014 ,0.000 
104,4,29,0.000 ,0.000 ,0.000 
105,10,101,0.000 ,0.007 ,34588.510 
106,38,28,0.000 ,0.030 ,3374.484 
107,56,173,0.001 ,0.261 ,116155.272 
108,130,33,0.000 ,0.012 ,634.560 
109,140,52,0.000 ,0.011 ,6832.617 
110,147,73,0.000 ,0.010 ,10833.462 
111,151,111,0.000 ,0.023 ,18120.635 
112,232,45,0.000 ,0.021 ,9946.716 
113,243,86,0.001 ,0.066 ,13030.889 
114,341,60,0.000 ,0.013 ,6365.637 
115,606,18,0.000 ,0.012 ,111.831 
116,5,23,0.000 ,0.000 ,0.000 
117,61,20,0.000 ,0.036 ,0.000 
118,89,45,0.000 ,0.017 ,8631.823 
119,93,18,0.000 ,0.006 ,2330.787 
120,153,19,0.000 ,0.011 ,9262.817 
121,163,23,0.000 ,0.010 ,6140.016 
122,167,12,0.000 ,0.005 ,0.000 
123,168,33,0.000 ,0.011 ,3938.250 
124,175,20,0.000 ,0.014 ,4736.816 
125,34,25,0.000 ,0.013 ,7731.017 
126,132,57,0.000 ,0.019 ,11658.010 
127,135,42,0.000 ,0.022 ,7369.359 
128,171,123,0.000 ,0.106 ,30807.737 
129,183,27,0.000 ,0.018 ,0.000 
130,216,29,0.000 ,0.013 ,1364.269 
131,219,18,0.000 ,0.008 ,0.000 
132,227,32,0.000 ,0.031 ,3743.377 
133,228,50,0.000 ,0.030 ,873.543 
134,236,60,0.000 ,0.023 ,8308.954 
135,250,22,0.000 ,0.015 ,0.000 
136,258,19,0.000 ,0.007 ,507.325 
137,259,134,0.000 ,0.079 ,34755.116 
138,274,29,0.000 ,0.015 ,0.000 
139,285,67,0.000 ,0.197 ,12043.270 
140,290,207,0.001 ,0.331 ,38385.005 
141,298,48,0.000 ,0.104 ,2078.034 
142,301,14,0.000 ,0.008 ,32.228 
143,304,125,0.000 ,0.053 ,16302.265 
144,317,189,0.000 ,0.046 ,24187.978 
145,319,217,0.000 ,0.017 ,25364.491 
146,359,7,0.000 ,0.003 ,0.000 
147,362,12,0.000 ,0.010 ,2614.957 
148,378,17,0.000 ,0.010 ,0.000 
149,390,13,0.000 ,0.009 ,0.000 
150,391,34,0.000 ,0.023 ,228.193 
151,392,5,0.000 ,0.003 ,0.000 
152,394,19,0.000 ,0.014 ,0.000 
153,396,24,0.000 ,0.015 ,0.000 
154,402,50,0.000 ,0.039 ,0.000 
155,405,41,0.000 ,0.020 ,6059.814 
156,406,57,0.000 ,0.037 ,18560.427 
157,421,10,0.000 ,0.005 ,0.000 
158,427,28,0.000 ,0.018 ,627.705 
159,431,21,0.000 ,0.025 ,0.000 
160,432,210,0.000 ,0.051 ,44534.133 
161,433,12,0.000 ,0.015 ,0.000 
162,435,18,0.000 ,0.026 ,0.000 
163,440,24,0.000 ,0.018 ,4692.244 
164,447,44,0.000 ,0.028 ,2932.492 
165,538,10,0.000 ,0.010 ,0.000 
166,564,32,0.000 ,0.012 ,812.819 
167,566,15,0.000 ,0.017 ,0.000 
168,579,87,0.000 ,0.166 ,2878.963 
169,589,18,0.000 ,0.038 ,0.000 
170,609,22,0.000 ,0.018 ,0.000 
171,613,18,0.000 ,0.010 ,4843.459 
172,616,17,0.000 ,0.011 ,18.776 
173,617,11,0.000 ,0.006 ,0.000 
174,619,9,0.000 ,0.005 ,0.000 
175,643,84,0.000 ,0.029 ,8226.322 
176,656,54,0.000 ,0.034 ,0.000 
177,665,104,0.002 ,0.119 ,65853.296 
178,668,19,0.000 ,0.009 ,91.352 
179,691,43,0.000 ,0.045 ,4753.825 
