Id,Label,度,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Modularity Class
1,1,35,3.564344746162928,13187.135093626079,0.243737709682304,6
2,2,5,0.0,0.0,0.0586505736007575,2
101,101,49,3.3925619834710745,9237.564186526071,0.3480604402499991,4
123,123,5,0.0,0.0,0.05432912745392511,2
159,159,1,0.0,0.0,0.0120148129963226,6
302,302,56,3.167060212514758,10346.743333244118,0.2381814508931048,4
323,323,104,2.7750885478158205,42458.459626447955,0.2897743343751964,9
397,397,1,0.0,0.0,0.0120148129963226,6
1440,1440,22,3.1948051948051948,5114.366966696503,0.04868060269762675,0
1779,1779,1,0.0,0.0,0.0120148129963226,6
1790,1790,1,0.0,0.0,0.0120148129963226,6
3,3,178,2.4008264462809916,124603.87046079764,0.35138508071874364,7
42,42,177,2.846517119244392,100030.8574334361,0.7540580014794582,0
135,135,20,3.28099173553719,4204.087277020707,0.17377439623652005,0
281,281,43,3.1989374262101533,8641.62947354551,0.2555778932729921,7
477,477,8,3.9167650531286893,1782.7920780929733,0.06322830522998282,0
652,652,66,2.908500590318772,14324.85352607381,0.1956846691529903,6
1626,1626,6,3.4433293978748525,621.2093541654743,0.023806382099345887,0
4,4,1,0.0,0.0,0.01734351837327921,7
9,9,241,2.539551357733176,135226.46235930535,0.38713989592488,8
26,26,22,4.70543093270366,918.3600396897051,0.22741705094353729,1
27,27,51,2.990554899645809,17946.250832933445,0.26061526752244024,6
58,58,28,1.6666666666666667,64.46051072526579,0.3202966453549438,4
60,60,22,4.239079102715467,421.6585321375519,0.2404927248503722,1
62,62,56,3.4132231404958677,9905.428297858993,0.38048579511664765,6
83,83,13,3.410271546635183,134.4238301775604,0.018597356106415174,4
84,84,22,3.6003541912632824,4517.2541867095015,0.13118911491904356,4
99,99,17,4.385478158205431,670.4693410172542,0.12535404007282416,5
105,105,227,2.3819362455726094,179697.60976860282,0.5323800428344121,0
172,172,36,3.2461629279811097,14926.1534503304,0.2364849782255203,7
173,173,15,3.3288075560802834,802.2055642948492,0.1521518676530187,2
176,176,121,2.84297520661157,36923.0530846804,0.33364690448940515,7
185,185,15,3.605667060212515,2344.737211993254,0.14328995328403857,1
194,194,160,2.7148760330578514,80720.93198456826,0.6113709702695843,6
199,199,66,3.0991735537190084,15342.824202394497,0.28249425285746893,7
224,224,35,3.260920897284534,5149.629851213458,0.1954572755486036,0
234,234,34,3.072018890200708,8431.969634516157,0.1502257195407725,6
242,242,44,3.5472255017709564,5901.4968392016735,0.3979049763767001,7
243,243,5,1.0,215.9169576898668,0.09036130142078051,4
249,249,172,2.61629279811098,101068.47113016974,0.5059767175179609,0
252,252,55,3.1375442739079102,13336.698702308548,0.37487203787109097,7
257,257,23,3.2863046044864226,5713.795931211375,0.08697200007389998,7
283,283,41,3.012987012987013,10780.371929504205,0.2141610831039685,7
285,285,19,4.504722550177096,848.4121947727587,0.19174709697556336,7
288,288,27,3.1965761511216058,3974.932335724349,0.19615515807295625,0
308,308,106,2.8925619834710745,36275.55766417538,0.4848720181595367,7
317,317,60,2.97874852420307,18711.723509849173,0.2828450019373364,7
333,333,12,3.539551357733176,379.49457893260774,0.0560963920834194,7
338,338,18,3.4161747343565527,4687.040382509319,0.093884701095205,7
346,346,42,3.485832349468713,11951.703646664811,0.24184337691887928,0
371,371,28,3.6186540731995276,6537.897448645957,0.28222834393947926,9
372,372,146,3.001180637544274,42831.45338806536,0.7039820763559571,4
374,374,6,1.5,67.14868224776828,0.09793938958726672,7
394,394,36,3.2125147579693034,3803.0261901317263,0.16697138633963793,0
408,408,15,3.768004722550177,1553.0659632090976,0.06812185302417977,9
415,415,38,3.0371900826446283,13848.369949861399,0.18545763072170926,8
475,475,88,2.7260920897284535,35936.05616652611,0.2985334759420965,8
504,504,23,3.2237308146399055,3305.146324079449,0.09663245737439458,7
509,509,61,3.062573789846517,10873.96286518017,0.22705077409041438,7
545,545,21,3.616883116883117,2915.280914006879,0.0911817670908189,9
569,569,36,2.807556080283353,5989.775183132977,0.07412969860545324,6
582,582,19,3.408500590318772,5372.38337877783,0.07024296758201279,0
590,590,46,3.2780401416765055,4186.265876158804,0.18064798751318573,9
610,610,5,3.5885478158205433,108.6321757137546,0.023061790646407235,1
611,611,3,4.27331759149941,3.043095352756651,0.027659868295623915,7
615,615,62,2.8931523022432115,14570.327036571296,0.1854023251108916,7
640,640,38,2.998229043683589,6940.194447012695,0.17946795977398428,3
641,641,8,3.6469893742621013,74.99057593904233,0.05922381209560511,9
645,645,23,3.4008264462809916,1101.6520661383026,0.13254080122840584,1
681,681,49,2.9332939787485244,6279.070913826285,0.10378235483529175,9
687,687,71,2.7774498229043685,19301.335967420822,0.1498291630713173,7
697,697,86,2.9327036599763874,30380.005215055404,0.3537240092253633,5
700,700,17,3.157615112160567,2098.5893979989078,0.07769403576877196,2
701,701,53,2.9415584415584415,10421.690698841585,0.1630662808549079,1
711,711,48,2.9451003541912635,15909.131489092375,0.2862756403525875,0
731,731,6,3.4940968122786304,458.6085235385504,0.055346285123017196,9
740,740,10,3.3600944510035418,2137.5720084841473,0.047917522558977625,7
741,741,18,3.153482880755608,774.8604517075175,0.05959874604819135,7
752,752,20,3.3665879574970483,1525.7836518561985,0.04632877911426296,7
754,754,16,3.228453364817001,3030.8065515783396,0.07697474241326198,7
768,768,45,3.1086186540731995,8633.712458119606,0.10392859099259358,6
778,778,21,3.309327036599764,3262.366000421757,0.07967113798144192,7
782,782,11,3.384887839433294,211.98650300602682,0.031781410384562565,6
790,790,6,4.43801652892562,153.9125652966583,0.05928174652368018,9
794,794,23,3.1977567886658798,3733.759128986253,0.1611000063703647,7
800,800,20,3.1345926800472257,2351.4160506271533,0.038980994908786204,7
810,810,29,3.128689492325856,3258.502680824169,0.04200766753541936,5
823,823,63,2.8931523022432115,14640.613581093387,0.17745704052367908,7
824,824,14,3.5696576151121606,731.2050052729026,0.04274851634835112,6
840,840,93,2.9025974025974026,29444.500693230908,0.3585216368733598,7
846,846,6,3.5808736717827627,217.57971017600514,0.028372032969648037,2
