度,Id,Label,度,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Modularity Class
255,103,103,255,2.680637544273908,132557.74302188554,0.6207721710210522,4
241,9,9,241,2.539551357733176,135226.46235930535,0.38713989592488,8
227,400,400,227,2.7467532467532467,109193.06903104104,0.4598634413659041,2
207,32,32,207,2.675914994096812,167891.94188333015,1.0,1
183,41,41,183,2.6747343565525386,81733.42509789707,0.4279908757652249,2
178,3,3,178,2.4008264462809916,124603.87046079764,0.35138508071874364,7
177,42,42,177,2.846517119244392,100030.8574334361,0.7540580014794582,0
172,249,249,172,2.61629279811098,101068.47113016974,0.5059767175179609,0
169,638,638,169,2.5348288075560803,90614.28739428543,0.3480631147031334,3
161,713,713,161,2.490554899645809,70791.24667961428,0.20822924077636212,7
160,194,194,160,2.7148760330578514,80720.93198456826,0.6113709702695843,6
156,67,67,156,2.66469893742621,77381.63349706437,0.3720167160682914,2
152,1283,1283,152,2.5867768595041323,60120.16558313888,0.18881280050515076,5
146,372,372,146,3.001180637544274,42831.45338806536,0.7039820763559571,4
143,357,357,143,2.6493506493506493,43176.71860073976,0.19848481772359422,0
142,12,12,142,2.5035419126328216,58928.00422522285,0.202402026372269,8
123,598,598,123,2.667650531286895,56184.14065991157,0.5203562877282777,7
121,176,176,121,2.84297520661157,36923.0530846804,0.33364690448940515,7
117,321,321,117,2.831759149940968,22363.638725603436,0.1618166861619326,4
113,704,704,113,2.730814639905549,39780.88037219478,0.16336204623530104,0
110,1713,1713,110,2.5702479338842976,13899.545045401293,0.012981111223827562,0
106,308,308,106,2.8925619834710745,36275.55766417538,0.4848720181595367,7
105,277,277,105,2.8482880755608027,26425.932393321717,0.2267758051888784,7
104,323,323,104,2.7750885478158205,42458.459626447955,0.2897743343751964,9
101,523,523,101,2.7733175914994095,58014.183238906066,0.20232009427730258,2
99,1543,1543,99,2.6741440377804016,43621.97402606798,0.06709354130753097,0
93,1598,1598,93,2.61629279811098,20237.685075893696,0.06385123715371228,1
91,770,770,91,2.6334120425029517,7693.327801170014,0.033121206918039416,1
90,95,95,90,3.126328217237308,30520.93178625951,0.26942903418570185,0
89,325,325,89,3.146399055489965,28471.207189699653,0.46991794168398526,1
88,475,475,88,2.7260920897284535,35936.05616652611,0.2985334759420965,8
86,697,697,86,2.9327036599763874,30380.005215055404,0.3537240092253633,5
85,679,679,85,2.909681227863046,22667.965001993114,0.12023955748953727,6
84,297,297,84,2.999409681227863,16069.328243259097,0.3647064138731688,7
83,212,212,83,2.978158205430933,29749.837960736342,0.40292593078782024,9
82,204,204,82,2.948051948051948,23694.412019422776,0.20069926743566321,7
80,1236,1236,80,2.605667060212515,9323.849240229867,0.041024652642944574,7
79,254,254,79,3.2520661157024793,12677.659090296385,0.5770308321415095,6
78,871,871,78,2.886068476977568,10855.277337963134,0.056412984200013803,7
77,482,482,77,2.8902007083825265,18258.595220067527,0.41321732049259113,7
75,431,431,75,2.947461629279811,9300.67953087448,0.11361238582203857,0
74,266,266,74,2.8896103896103895,19897.462494831223,0.1119570880807301,4
73,617,617,73,2.739669421487603,17911.58980833669,0.13749004413961582,9
72,398,398,72,2.871900826446281,11868.744551578755,0.12403955770551241,1
71,733,733,71,2.8671782762691853,9574.910473760749,0.05886646950394392,4
69,1539,1539,69,2.8890200708382525,9427.36624362373,0.022176613499813275,8
68,502,502,68,2.8659976387249113,18577.87457828371,0.2848245438049063,7
67,654,654,67,2.8618654073199528,12364.706180998624,0.20398958160081268,6
66,342,342,66,2.9634002361275087,17110.680775892914,0.21383294296294014,7
65,1255,1255,65,2.58913813459268,24869.772316484676,0.13919377646656023,1
64,8,8,64,1.0,1394.72038001813,0.5795915244704691,4
63,555,555,63,2.9138134592680047,12482.03552524746,0.1044958770124704,9
62,542,542,62,3.1818181818181817,6771.38686299533,0.30431695536145426,7
61,509,509,61,3.062573789846517,10873.96286518017,0.22705077409041438,7
60,454,454,60,3.1593860684769774,13283.900817445336,0.3226420426226463,7
59,474,474,59,2.6930342384887838,13022.52353656054,0.10659873648257068,0
58,306,306,58,3.4327036599763874,9426.755917445027,0.31817218246082435,9
57,809,809,57,2.7231404958677685,10500.269421225055,0.037342926028176036,7
56,783,783,56,2.937426210153483,13287.837415410826,0.16826545498255688,7
55,536,536,55,3.290436835891381,11465.08716815426,0.21277289029211863,7
54,393,393,54,3.180637544273908,10781.274530063913,0.3026511857296777,0
53,48,48,53,4.407910271546635,6576.975196988204,0.4096465773330077,4
52,191,191,52,3.9445100354191265,6015.109469785714,0.3728797204759855,4
51,986,986,51,2.706021251475797,3162.6219596620726,0.018427071542321403,6
50,1280,1280,50,2.7621015348288074,10041.258290938964,0.07261960925125338,0
49,52,52,49,3.552538370720189,10418.845174480335,0.4484016763510455,4
48,639,639,48,2.7378984651711926,18179.77824961559,0.1044466677662081,7
47,642,642,47,3.0590318772136955,10578.20487109851,0.21173425127234352,6
46,377,377,46,2.75974025974026,7029.662210650333,0.054917750625871675,9
45,843,843,45,3.0177095631641087,13915.590771399802,0.14289633668665744,7
44,546,546,44,3.050177095631641,4891.326174998751,0.11418527081396494,7
43,1644,1644,43,2.677095631641086,4871.188511486796,0.009761566070402137,0
42,1253,1253,42,3.0277449822904368,13255.97594257906,0.054313499673732196,6
41,950,950,41,3.0283353010625738,3795.458402767761,0.09015609389482429,5
40,797,797,40,3.0336481700118063,9854.849819072744,0.03267055011947341,2
39,38,38,39,3.312868949232586,1898.5240940942736,0.049095336356935027,4
38,1540,1540,38,2.9834710743801653,8986.674982376917,0.04787900366218919,5
37,878,878,37,3.050767414403778,4829.00480226016,0.06533516986572221,7
36,189,189,36,3.0566706021251475,1832.6611300339596,0.027032259598962168,9
35,447,447,35,2.8925619834710745,2708.5304779396956,0.0428416742128618,4
34,1026,1026,34,3.1517119244391973,6433.529695729572,0.09528166367300306,7
33,143,143,33,2.8913813459268005,6276.21052143215,0.06602030559093876,9
32,830,830,32,3.112750885478158,5475.786420017563,0.06807624197257586,7
31,1667,1667,31,2.847967000589275,0.0,0.0,0
30,1741,1741,30,3.0919811320754715,0.0,0.0,7
29,919,919,29,2.831759149940968,4459.820796455251,0.032263821856827586,6
28,913,913,28,3.038961038961039,2894.3310113845328,0.031450255968166294,7
27,1052,1052,27,3.2219598583234945,2550.598724116477,0.02877522448241826,0
26,1899,1899,26,3.033038348082596,0.0,0.0,5
25,1168,1168,25,3.1599763872491144,4313.716487538975,0.04763626084988895,1
24,1669,1669,24,3.068396226415094,1696.0,5.004066970843785E-4,7
23,942,942,23,3.1304604486422667,2549.002607715721,0.025855588414030017,0
22,1724,1724,22,2.857142857142857,9285.098170860783,0.0040736772674827065,0
21,1381,1381,21,3.094451003541913,941.8475825081941,0.03398915180184158,7
20,793,793,20,3.446871310507674,1613.7842424538865,0.010453422212750299,5
19,655,655,19,3.580399061032864,0.0,0.0,1
18,1488,1488,18,3.2119244391971664,8198.493784960205,0.0014311439533758181,0
17,1562,1562,17,3.157429245283019,0.0,0.0,7
16,1393,1393,16,3.32172373081464,5618.333750256137,0.006549535039039507,3
15,1727,1727,15,2.9716646989374262,476.12635135568564,0.006014496141821954,0
14,1328,1328,14,3.396103896103896,753.5398159374765,0.00492051966703922,7
13,1087,1087,13,3.1922169811320753,0.0,0.0,5
12,1416,1416,12,3.0696165191740414,0.0,0.0,7
11,1186,1186,11,3.1948051948051948,1404.3561984747557,0.0020393914080680084,7
10,648,648,10,3.6359882005899706,0.0,0.0,9
9,760,760,9,3.353392330383481,0.0,0.0,9
8,1868,1868,8,3.3010625737898467,614.3606675802913,0.00108078728962953,5
7,1199,1199,7,3.6232311320754715,0.0,0.0,5
6,1089,1089,6,3.7404129793510323,0.0,0.0,5
5,1586,1586,5,3.634433962264151,0.0,0.0,0
4,1076,1076,4,3.7238938053097344,1695.0,5.004066970843785E-4,9
3,1844,1844,3,4.22936320754717,0.0,0.0,0
2,1801,1801,2,4.7924528301886795,1696.0000000000002,5.004066970843785E-4,4
1,1896,1896,1,4.263716814159292,0.0,0.0,4
