Id,Label,度,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
145619111,145619111,1,1,0,0
59223509,59223509,11,0,0,0.308552237
48383145,48383145,1,1,0,0
198581973,198581973,3,0,0,0.08415061
53223847,53223847,8,1,0,0
236837404,236837404,4,0,0,0.202432384
27131906,27131906,3,0,0,0.08415061
70788259,70788259,1,0,0,0.028050203
14184603,14184603,3,0,0,0.08415061
17069442,17069442,3,0,0,0.08415061
79498350,79498350,4,0,0,0.112200814
23611536,23611536,3,0,0,0.08415061
92660310,92660310,1,0,0,0.028050203
201712702,201712702,9,1,0,0
39006021,39006021,3,0,0,0.08415061
14407142,14407142,4,0,0,0.112200814
14856056,14856056,2,0,0,0.146331977
151276543,151276543,1,0,0,0.028050203
14403308,14403308,1,0,0,0.028050203
14607953,14607953,1,0,0,0.028050203
30595233,30595233,1,0,0,0.028050203
50047513,50047513,1,0,0,0.028050203
168084172,168084172,1,0,0,0.028050203
17093031,17093031,1,1,0,0
140925207,140925207,6,0,0,0.16830122
9576102,9576102,87,1.084210526,0,0
20220913,20220913,2,0,0,0.056100407
172869874,172869874,5,0,0,0.230482588
165972024,165972024,8,1,10,0.056100407
24282591,24282591,3,0,0,0.08415061
136476524,136476524,5,0,0,0.230482588
15814146,15814146,1,0,0,0.028050203
196117813,196117813,2,0,0,0.056100407
34771848,34771848,6,1,8,0.112200814
113158328,113158328,1,0,0,0.028050203
249935291,249935291,1,0,0,0.028050203
15002660,15002660,1,0,0,0.028050203
24725418,24725418,4,0,0,0.112200814
87218309,87218309,1,0,0,0.028050203
135267339,135267339,3,0,0,0.08415061
247011244,247011244,1,0,0,0.028050203
39523267,39523267,1,0,0,0.028050203
26048553,26048553,6,0,0,0.348764361
242783187,242783187,5,1,4,0.112200814
15998753,15998753,5,0,0,0.140251017
218657077,218657077,5,0,0,0.230482588
172888647,172888647,1,0,0,0.028050203
242851044,242851044,1,0,0,0.028050203
212793078,212793078,2,0,0,0.146331977
53191985,53191985,1,0,0,0.028050203
237347838,237347838,1,0,0,0.028050203
202209406,202209406,2,0,0,0.056100407
100692710,100692710,2,0,0,0.236563548
246798367,246798367,1,0,0,0.028050203
53101363,53101363,2,0,0,0.056100407
95479765,95479765,1,0,0,0.028050203
53734351,53734351,2,0,0,0.056100407
119170521,119170521,1,0,0,0.028050203
140917613,140917613,1,0,0,0.028050203
19125048,19125048,1,0,0,0.028050203
242034299,242034299,2,0,0,0.056100407
51361975,51361975,3,0,0,0.08415061
18146018,18146018,1,0,0,0.028050203
242632854,242632854,1,0,0,0.028050203
103364104,103364104,1,0,0,0.028050203
250219011,250219011,2,0,0,0.056100407
235081908,235081908,3,0,0,0.264613751
235128248,235128248,1,0,0,0.028050203
73093568,73093568,1,0,0,0.028050203
131034344,131034344,1,0,0,0.028050203
77336376,77336376,1,0,0,0.028050203
73995540,73995540,1,0,0,0.028050203
117733959,117733959,1,0,0,0.028050203
68952877,68952877,1,0,0,0.028050203
16069119,16069119,2,0,0,0.056100407
29847100,29847100,1,0,0,0.028050203
19776947,19776947,1,0,0,0.028050203
39003709,39003709,1,0,0,0.028050203
12589102,12589102,1,0,0,0.028050203
100926556,100926556,2,1,1,0.028050203
17650998,17650998,1,0,0,0.028050203
102539487,102539487,1,0,0,0.028050203
71365276,71365276,1,0,0,0.028050203
245510758,245510758,1,0,0,0.028050203
173807116,173807116,2,0,0,0.056100407
24289502,24289502,1,0,0,0.028050203
246377138,246377138,2,0,0,0.056100407
143434318,143434318,1,0,0,0.028050203
19074197,19074197,1,0,0,0.028050203
64508451,64508451,1,0,0,0.028050203
130178969,130178969,1,0,0,0.028050203
245700066,245700066,2,0,0,0.056100407
245552598,245552598,1,0,0,0.028050203
22274476,22274476,2,0,0,0.056100407
185821500,185821500,2,0,0,0.056100407
65352610,65352610,1,0,0,0.028050203
249716090,249716090,2,0,0,0.056100407
135078643,135078643,2,0,0,0.056100407
58566981,58566981,1,0,0,0.028050203
44401236,44401236,1,0,0,0.028050203
100632068,100632068,1,0,0,0.028050203
20806039,20806039,2,0,0,0.056100407
96544601,96544601,1,0,0,0.028050203
68133207,68133207,1,0,0,0.028050203
8227022,8227022,1,0,0,0.028050203
27190290,27190290,1,0,0,0.028050203
245033484,245033484,2,0,0,0.056100407
18287695,18287695,1,0,0,0.028050203
110524606,110524606,1,0,0,0.028050203
