度,Id,Label,度,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
252,778057,778057,252,1.088560886,0,0
147,3655491,3655491,147,1.013422819,0,0
87,9576102,9576102,87,1.084210526,0,0
54,16935292,16935292,54,1.114754098,0,0
44,16699452,16699452,44,1.063829787,0,0
43,17043155,17043155,43,1.085106383,0,0
42,83164429,83164429,42,1.023255814,0,0
38,8906612,8906612,38,1.191489362,0,0
36,4776521,4776521,36,1.1,0,0
35,2215171,2215171,35,1.15,40,0.028050203
26,29544053,29544053,26,0,0,1
25,28089205,28089205,25,1.107142857,0,0
24,159644072,159644072,24,1,0,0
23,14584496,14584496,23,1.153846154,0,0
22,9055752,9055752,22,1.214285714,0,0
21,67999451,67999451,21,1,37,0.056100407
20,85311406,85311406,20,1.166666667,0,0
19,189107765,189107765,19,1.136363636,0,0
18,5715752,5715752,18,1,0,0
16,46165517,46165517,16,1,0,0
14,17682351,17682351,14,1,0,0
13,207522610,207522610,13,1,0,0
12,84620593,84620593,12,1.625,0,0
11,9692022,9692022,11,1,0,0
10,241844573,241844573,10,0,0,0.785078084
9,171617450,171617450,9,1.357142857,0,0
8,31922032,31922032,8,1.2,0,0
7,197466225,197466225,7,1,0,0
6,18142375,18142375,6,1,0,0
5,14296273,14296273,5,1,4,0.028050203
4,91426639,91426639,4,1,0,0
3,26331267,26331267,3,1.25,0,0
2,78782598,78782598,2,1,0,0
1,28870409,28870409,1,1,0,0
