Id,Label,度,Closeness Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
23087,23087,1,8.192429022,0,0.001048999,0.013254655
24187,24187,41,7.192879676,87940,0.004546022,0.049978232
23093,23093,1,9.465975665,0,2.44E-04,0.003671261
23103,23103,3,9.996845426,3858.092803,0.001409188,0.014555366
9453,9453,2,9.166741776,5147.241638,2.18E-04,0.009448997
23487,23487,1,10.99639477,0,0.002154422,0.019360737
23613,23613,2,10.38666066,1550.288341,2.23E-04,0.004731305
23123,23123,1,8.905813429,0,0.002161425,0.018000631
23836,23836,2,7.906264083,2218,2.22E-04,0.005997779
23136,23136,2,7.291572781,12457.9869,0.00221873,0.021845676
26353,26353,2,6.958539883,13070.86625,2.21E-04,0.035846878
33831,33831,2,6.75168995,13450.7409,2.21E-04,0.014366864
23155,23155,17,5.266786841,122262.3693,0.007334995,0.160801872
2651,2651,2,5.280757098,5355.042066,2.07E-04,0.078745868
5704,5704,2,5.280757098,5355.042066,2.07E-04,0.078745868
7619,7619,2,6.197836863,9099.808813,2.11E-04,0.025659372
21007,21007,2,6.197836863,9099.808813,2.11E-04,0.025659372
23209,23209,11,5.131590807,127169.6146,0.004482023,0.098517218
23303,23303,3,6.265434881,0.5,0.00220723,0.038923447
23367,23367,7,5.490761604,3623.187462,0.0012148,0.044424194
25400,25400,2,6.075709779,0,2.05E-04,0.023879001
25638,25638,2,6.107255521,3878.632598,2.10E-04,0.0186453
29823,29823,13,4.550698513,555819.8413,0.001172049,0.167517966
30306,30306,2,6.229382605,89298,2.14E-04,0.02101992
52063,52063,2,5.280757098,5355.042066,2.07E-04,0.078745868
52247,52247,2,6.265885534,0,2.00E-04,0.018767514
52287,52287,2,6.265885534,0,2.00E-04,0.018767514
52297,52297,2,6.265885534,0,2.00E-04,0.018767514
52326,52326,2,6.265885534,0,2.00E-04,0.018767514
147712,147712,2,6.265885534,0,2.10E-04,0.019074973
23174,23174,1,9.354664263,0,0.005585959,0.063786481
303,303,2,8.355114917,2218,2.18E-04,0.013960294
23199,23199,33,4.346552501,695767.1452,0.023156517,1
1313,1313,2,5.092383957,0,2.07E-04,0.083205527
1628,1628,2,5.262280306,26734.16154,2.13E-04,0.07194725
