度,Id,Label,度,Closeness Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
167,25025,25025,167,4.839116719,440541.6157,0.017684109,0.560469774
150,24119,24119,150,6.029292474,343231.7805,0.016097917,0.415942909
102,24619,24619,102,6.931500676,218968,0.011307416,0.198174945
97,24542,24542,97,5.31500676,441316.7065,0.010205509,0.204026586
82,24918,24918,82,4.673726904,353475.5258,0.007386906,0.295386743
77,24571,24571,77,5.519152772,513301.8814,0.007684004,0.145357353
71,24525,24525,71,4.361424065,412324.4503,0.007041188,0.253156555
70,24829,24829,70,4.579990987,378373.726,0.006439278,0.203604042
66,24966,24966,66,5.537178909,133684.3254,0.006913595,0.131726263
65,24407,24407,65,6.349707075,139936,0.007231436,0.099318252
64,24817,24817,64,4.893195133,232367.1915,0.006447271,0.133214246
61,24060,24060,61,7.97521406,131310,0.006806063,0.085178318
60,24818,24818,60,4.781433078,326608.8713,0.005450341,0.18932997
45,24332,24332,45,7.916178459,96646,0.005039191,0.055300481
42,24405,24405,42,6.519152772,88643.6582,0.004567675,0.054578934
41,24187,24187,41,7.192879676,87940,0.004546022,0.049978232
40,24082,24082,40,12.96439838,100957.8333,0.004315674,0.049506049
38,24448,24448,38,5.086976115,187423.163,0.004025733,0.077738855
37,24805,24805,37,4.791798107,242321.5768,0.003523566,0.100262347
36,24538,24538,36,6.278053177,72673,0.003901987,0.063924104
35,25059,25059,35,6.141955836,72707.84465,0.003840161,0.049581252
34,24512,24512,34,6.056782334,72666,0.003807538,0.044471233
33,23199,23199,33,4.346552501,695767.1452,0.023156517,1
31,24758,24758,31,6.769265435,84825.42369,0.003158096,0.037985724
27,24835,24835,27,5.143307796,205722.9668,0.002536163,0.073422743
25,24882,24882,25,5.994141505,36647.9056,0.002283204,0.047621474
23,24767,24767,23,5.518702118,76944,0.002507981,0.03536945
22,24826,24826,22,5.173050924,100687.7469,0.002159455,0.116405873
20,24411,24411,20,5.391167192,83378.60321,0.00210289,0.034884121
19,24148,24148,19,7.308246958,245767,0.002097382,0.021527657
18,24811,24811,18,6.759351059,37570,0.002039372,0.017245824
17,24011,24011,17,6.260027039,55661.20281,0.001878857,0.022040365
16,24582,24582,16,5.756196485,31349.26667,0.001744356,0.03196136
14,24777,24777,14,6.506534475,28756,0.001601369,0.015908137
13,24926,24926,13,5.977917981,26550,0.001446355,0.021378371
12,24842,24842,12,5.231635872,44124,0.001224817,0.049948745
11,24897,24897,11,5.557908968,21231.59557,0.001032813,0.043162454
10,24859,24859,10,6.223073457,19926,0.00113976,0.012135143
9,24851,24851,9,5.417755746,20101.90154,7.88E-04,0.070503242
8,24053,24053,8,7.571879225,15505,9.31E-04,0.010030464
7,24860,24860,7,5.523659306,16766.05909,6.78E-04,0.02713373
6,24870,24870,6,5.573231185,12833.30114,6.33E-04,0.021131514
5,24907,24907,5,6.013970257,4982.949865,4.74E-04,0.015719617
4,24950,24950,4,6.085173502,138045,4.25E-04,0.009969093
3,24872,24872,3,6.556557008,2401.77379,3.22E-04,0.004214086
2,1649,1649,2,5.808021631,15584.4798,2.19E-04,0.046418806
1,200950,200950,1,7.141505183,0,1.29E-04,0.005918281
